player_name,country,playing_role,date_of_birth,age,batting_style,bowling_style,career_span,input_url,warning,warning_code,error,matches,wickets,batting_average,strike_rate,Balls,BBI,Ave,Econ,SR,Inns,NO,runs,HS,50s,5
Ramakrishna Ghosh,India,Bowling Allrounder,"August 28, 1997, Nashik",28y 290d,Right hand Bat,Right arm Medium fast,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,1,1.0,-,-,18.0,1/24,24.0,8.0,18.0,,,,,,
Ben Hilfenhaus,Australia,Bowler,"March 15, 1983, Ulverstone, Tasmania",43y 91d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2007 - 2012,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,17,22.0,-,-,372.0,3/27,21.77,7.72,16.9,1.0,1.0,,,,
Faf du Plessis,South Africa,Middle order Batter,"July 13, 1984, Pretoria",41y 336d,Right hand Bat,Legbreak,INTL CAREER: 2011 - 2021,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,154,,35.09,135.78,6.0,-,,16.0,,147.0,11.0,4773.0,96.0,39.0,
Doug Bollinger,Australia,Bowler,"July 24, 1981, Baulkham Hills, Sydney, New South Wales",44y 325d,Left hand Bat,Left arm Fast medium,INTL CAREER: 2009 - 2014,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,27,37.0,21.00,91.30,576.0,4/13,18.72,7.21,15.5,4.0,3.0,21.0,16.0,,1.0
Deepak Chahar,India,Bowler,"August 07, 1992, Agra, Uttar Pradesh",33y 311d,Right hand Bat,Right arm Medium,INTL CAREER: 2018 - 2023,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,103,96.0,14.20,137.86,2068.0,4/13,29.81,8.3,21.5,21.0,11.0,142.0,39.0,,2.0
Prashant Veer,India,Bowling Allrounder,"November 24, 2005, Amethi, Uttar Pradesh",20y 202d,Left hand Bat,Slow Left arm Orthodox,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,6,,45.00,134.32,12.0,-,,12.5,,5.0,3.0,90.0,43.0,,
Richard Gleeson,England,Bowler,"December 02, 1987, Blackpool, Lancashire",38y 194d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2022 - 2022,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,3,2.0,-,100.00,68.0,1/30,55.0,9.7,34.0,1.0,1.0,2.0,2.0,,
Pawan Negi,India,Bowler,"January 06, 1993, Delhi",33y 159d,Left hand Bat,Slow Left arm Orthodox,INTL CAREER: 2016 - 2016,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,50,34.0,14.03,126.29,716.0,4/18,27.61,7.86,21.0,35.0,9.0,365.0,36.0,,1.0
Rachin Ravindra,New Zealand,Batting Allrounder,"November 18, 1999, Wellington",26y 208d,Left hand Bat,Slow Left arm Orthodox,INTL CAREER: 2021 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,18,,24.29,143.90,12.0,-,,3.5,,18.0,1.0,413.0,65.0,2.0,
Khaleel Ahmed,India,Bowler,"December 05, 1997, Tonk, Rajasthan",28y 191d,Right hand Bat,Left arm Fast medium,INTL CAREER: 2018 - 2024,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,76,91.0,0.40,22.22,1657.0,3/21,27.18,8.95,18.2,7.0,2.0,2.0,1.0,,
