year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr
2008,46248,Albie Morkel,Chennai Super Kings,27081000,2.7081,,,,
2008,38062,Jacob Oram,Chennai Super Kings,27081000,2.7081,,,,
2008,29976,Joginder Sharma,Chennai Super Kings,9027000,0.9027,,,,
2008,28081,Mahendra Singh Dhoni,Chennai Super Kings,60180000,6.018,,,,
2008,46592,Makhaya Ntini,Chennai Super Kings,8024000,0.8024,,,,
2008,5616,Matthew Hayden,Chennai Super Kings,15045000,1.5045,,,,
2008,5939,Michael Hussey,Chennai Super Kings,10030000,1.003,,,,
2008,49636,Muttiah Muralitharan,Chennai Super Kings,24072000,2.4072,,,,
2008,32242,Parthiv Patel,Chennai Super Kings,13039000,1.3039,,,,
2008,37000,Stephen Fleming,Chennai Super Kings,14042000,1.4042,,,,
2008,33335,Suresh Raina,Chennai Super Kings,26078000,2.6078,,,,
2008,5390,Adam Gilchrist,Deccan Chargers,28084000,2.8084,,,,
2008,7702,Andrew Symonds,Deccan Chargers,54162000,5.4162,,,,
2008,50431,Chamara Silva,Deccan Chargers,4012000,0.4012,,,,
2008,50804,Chaminda Vaas,Deccan Chargers,8024000,0.8024,,,,
2008,45224,Herschelle Gibbs,Deccan Chargers,23069000,2.3069,,,,
2008,51050,Nuwan Zoysa,Deccan Chargers,4413200,0.44132,,,,
2008,35280,R P Singh,Deccan Chargers,35105000,3.5105,,,,
2008,34102,Rohit Sharma,Deccan Chargers,30090000,3.009,,,,
2008,38407,Scott Styris,Deccan Chargers,7021000,0.7021,,,,
2008,42639,Shahid Afridi,Deccan Chargers,27081000,2.7081,,,,
2008,30750,VVS Laxman,Deccan Chargers,15045000,1.5045,,,,
2008,44936,AB de Villiers,Delhi Capitals,12036000,1.2036,,,,
2008,38710,Daniel Vettori,Delhi Capitals,25075000,2.5075,,,,
2008,30045,Dinesh Karthik,Delhi Capitals,21063000,2.1063,,,,
2008,49638,Farveez Maharoof,Delhi Capitals,9027000,0.9027,,,,
2008,28763,Gautam Gambhir,Delhi Capitals,29087000,2.9087,,,,
2008,6565,Glenn McGrath,Delhi Capitals,14042000,1.4042,,,,
2008,35565,Manoj Tiwary,Delhi Capitals,27081000,2.7081,,,,
2008,41411,Mohammad Asif,Delhi Capitals,26078000,2.6078,,,,
2008,42657,Shoaib Malik,Delhi Capitals,20060000,2.006,,,,
2008,48472,Tillakaratne Dilshan,Delhi Capitals,10030000,1.003,,,,
2008,26184,Ajit Agarkar,Kolkata Knight Riders,14042000,1.4042,,,,
