player_id,player_name,birthdate,age,nationality,player_role,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
27639,Aakash Chopra,"September 19, 1977, Agra, Uttar Pradesh",48y 289d,India,Batter,2003 - 2004,2009,IPL 2009,KKR,2,1,0,11,11,11.00,19,57.89,0,0,2,0,0,0,-,-,-,-,-,-,-,-,-,-,,,,
27639,Aakash Chopra,"September 19, 1977, Agra, Uttar Pradesh",48y 289d,India,Batter,2003 - 2004,2007/08,IPL 2007/08,KKR,5,5,0,42,24,8.40,52,80.76,0,0,5,0,2,0,-,-,-,-,-,-,-,-,-,-,,,,
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2022,IPL 2022,KKR,5,5,0,86,58,17.20,61,140.98,0,1,10,3,1,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2020/21,IPL 2020/21,RCB,12,12,0,268,52,22.33,241,111.20,0,1,28,8,3,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2018,IPL 2018,PBKS,10,9,1,134,46,16.75,100,134.00,0,0,6,8,4,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2017,IPL 2017,GL,13,13,1,299,72,24.91,180,166.11,0,2,25,19,5,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2016,IPL 2016,GL,13,12,2,393,74,39.30,299,131.43,0,5,45,11,3,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2015,IPL 2015,MI,3,3,1,23,10*,11.50,33,69.69,0,0,4,0,0,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2014,IPL 2014,SRH,13,13,2,309,88*,28.09,263,117.49,0,2,31,9,6,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2013,IPL 2013,PWI,14,14,0,456,67,32.57,336,135.71,0,4,54,16,2,0,1,12.25,24,1/11,1/11,49.00,24.0,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2012,IPL 2012,DC,2,2,0,55,30,27.50,51,107.84,0,0,8,0,0,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2011,IPL 2011,DC,6,6,0,47,25,7.83,46,102.17,0,0,3,3,4,0,0,6.50,12,-,-,-,-,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,2011 - 2022,2009/10,IPL 2009/10,RR,1,1,0,21,21,21.00,21,100.00,0,0,0,1,0,0,0,4.28,7,-,-,-,-,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
1081183,Abhijeet Tomar,"March 14, 1995, Jaipur, Rajasthan",31y 113d,India,Opening Batter,-,2022,IPL 2022,KKR,1,1,0,4,4,4.00,8,50.00,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,,,,
268739,Balapuwaduge Ajantha Winslow Mendis,"March 11, 1985, Moratuwa",41y 116d,Sri Lanka,Bowler,2008 - 2015,2013,IPL 2013,PWI,3,1,0,2,2,2.00,4,50.00,0,0,0,0,0,0,2,6.50,72,1/15,1/15,39.00,36.0,0,0,0,"October 10, 2008","March 27, 2014","April 10, 2008","December 26, 2015"
268739,Balapuwaduge Ajantha Winslow Mendis,"March 11, 1985, Moratuwa",41y 116d,Sri Lanka,Bowler,2008 - 2015,2009/10,IPL 2009/10,KKR,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,0,2,8.25,48,2/22,2/22,33.00,24.0,0,0,0,"October 10, 2008","March 27, 2014","April 10, 2008","December 26, 2015"
268739,Balapuwaduge Ajantha Winslow Mendis,"March 11, 1985, Moratuwa",41y 116d,Sri Lanka,Bowler,2008 - 2015,2009,IPL 2009,KKR,4,1,0,0,0,0.00,1,0.00,0,0,0,0,2,0,3,7.31,96,2/19,2/19,39.00,32.0,0,0,0,"October 10, 2008","March 27, 2014","April 10, 2008","December 26, 2015"
268739,Balapuwaduge Ajantha Winslow Mendis,"March 11, 1985, Moratuwa",41y 116d,Sri Lanka,Bowler,2008 - 2015,2007/08,IPL 2007/08,KKR,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,6.00,24,1/24,1/24,24.00,24.0,0,0,0,"October 10, 2008","March 27, 2014","April 10, 2008","December 26, 2015"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2026,IPL 2026,KKR,14,14,1,335,67,25.76,248,135.08,0,2,25,18,8,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2025,IPL 2025,KKR,13,12,1,390,61,35.45,264,147.72,0,3,36,20,5,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2024,IPL 2024,CSK,13,12,0,242,45,20.16,196,123.46,0,0,23,7,1,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2023,IPL 2023,CSK,14,11,1,326,71*,32.60,189,172.48,0,2,24,16,8,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2022,IPL 2022,KKR,7,7,0,133,44,19.00,128,103.90,0,0,14,4,3,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2021,IPL 2021,DC,2,1,0,8,8,8.00,8,100.00,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2020/21,IPL 2020/21,DC,9,8,0,113,60,14.12,107,105.60,0,1,12,2,4,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2019,IPL 2019,RR,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,5,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2018,IPL 2018,RR,15,14,1,370,65*,28.46,313,118.21,0,1,39,5,4,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2017,IPL 2017,RPS,16,16,1,382,60,25.46,323,118.26,0,2,35,9,6,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2016,IPL 2016,RPS,14,14,3,480,74,43.63,379,126.64,0,6,54,9,7,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2015,IPL 2015,RR,14,13,2,540,91*,49.09,413,130.75,0,4,53,13,3,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2014,IPL 2014,RR,13,12,0,339,72,28.25,291,116.49,0,3,38,3,6,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2013,IPL 2013,RR,18,18,4,488,68*,34.85,458,106.55,0,4,42,11,10,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2012,IPL 2012,RR,16,16,2,560,103*,40.00,433,129.33,1,3,73,10,11,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2011,IPL 2011,RR,10,7,1,120,52,20.00,98,122.44,0,1,12,2,1,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2009,IPL 2009,MI,8,7,1,144,62*,24.00,123,117.07,0,2,12,3,1,0,1,5.00,6,1/5,1/5,5.00,6.0,0,0,0,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2007/08,IPL 2007/08,MI,2,2,0,4,4,2.00,17,23.52,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
26184,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",48y 213d,India,Bowler,1998 - 2007,2013,IPL 2013,DC,4,2,1,12,9*,12.00,16,75.00,0,0,0,0,1,0,0,9.20,60,-,-,-,-,0,0,0,"December 01, 2006","September 16, 2007","April 01, 1998","September 05, 2007"
26184,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",48y 213d,India,Bowler,1998 - 2007,2012,IPL 2012,DC,4,1,1,0,0*,-,0,-,0,0,0,0,2,0,3,9.34,86,2/27,2/27,44.66,28.6,0,0,0,"December 01, 2006","September 16, 2007","April 01, 1998","September 05, 2007"
26184,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",48y 213d,India,Bowler,1998 - 2007,2011,IPL 2011,DC,7,2,1,7,7*,7.00,6,116.66,0,0,1,0,0,0,8,8.55,162,2/23,2/23,28.87,20.2,0,0,0,"December 01, 2006","September 16, 2007","April 01, 1998","September 05, 2007"
26184,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",48y 213d,India,Bowler,1998 - 2007,2009/10,IPL 2009/10,KKR,7,4,3,40,17,40.00,29,137.93,0,0,4,0,1,0,4,9.22,132,2/32,2/32,50.75,33.0,0,0,0,"December 01, 2006","September 16, 2007","April 01, 1998","September 05, 2007"
26184,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",48y 213d,India,Bowler,1998 - 2007,2009,IPL 2009,KKR,11,7,5,66,39,33.00,57,115.78,0,0,3,3,0,0,6,9.16,186,2/15,2/15,47.33,31.0,0,0,0,"December 01, 2006","September 16, 2007","April 01, 1998","September 05, 2007"
26184,Ajit Bhalchandra Agarkar,"December 04, 1977, Bombay (now Mumbai), Maharashtra",48y 213d,India,Bowler,1998 - 2007,2007/08,IPL 2007/08,KKR,9,6,1,54,20,10.80,46,117.39,0,0,5,2,1,0,8,7.96,156,3/25,3/25,25.87,19.5,0,0,0,"December 01, 2006","September 16, 2007","April 01, 1998","September 05, 2007"
1254269,Aman Khan,"November 23, 1996",29y 224d,India,Allrounder,-,2023,IPL 2023,DC,11,9,1,110,51,13.75,101,108.91,0,1,7,6,9,0,-,-,-,-,-,-,-,-,-,-,,,,
1254269,Aman Khan,"November 23, 1996",29y 224d,India,Allrounder,-,2022,IPL 2022,KKR,1,1,0,5,5,5.00,3,166.66,0,0,1,0,0,0,0,13.00,6,-,-,-,-,0,0,0,,,,
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2025,IPL 2025,KKR,13,10,1,167,57*,18.55,102,163.72,0,1,16,14,5,0,8,11.94,109,2/21,2/21,27.12,13.6,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2024,IPL 2024,KKR,15,9,2,222,64*,31.71,120,185.00,0,1,20,16,3,0,19,10.05,176,3/19,3/19,15.52,9.2,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2023,IPL 2023,KKR,14,14,3,227,42,20.63,156,145.51,0,0,13,18,6,0,7,11.34,91,3/22,3/22,24.57,13.0,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2022,IPL 2022,KKR,14,12,3,335,70*,37.22,192,174.47,0,1,18,32,2,0,17,9.86,169,4/5,4/5,16.35,9.9,1,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2021,IPL 2021,KKR,10,9,2,183,54,26.14,120,152.50,0,1,14,14,2,0,11,9.89,114,5/15,5/15,17.09,10.3,0,1,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2020/21,IPL 2020/21,KKR,10,9,0,117,25,13.00,81,144.44,0,0,9,9,2,0,6,9.72,108,2/29,2/29,29.16,18.0,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2019,IPL 2019,KKR,14,13,4,510,80*,56.66,249,204.81,0,4,31,52,4,0,11,9.51,181,2/21,2/21,26.09,16.4,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2018,IPL 2018,KKR,16,14,3,316,88*,28.72,171,184.79,0,1,17,31,8,0,13,9.38,227,3/31,3/31,27.30,17.4,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2016,IPL 2016,KKR,12,8,1,188,39*,26.85,114,164.91,0,0,10,15,2,0,15,7.97,219,4/20,4/20,19.40,14.6,1,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2015,IPL 2015,KKR,13,11,2,326,66,36.22,169,192.89,0,3,35,19,6,0,14,7.96,244,3/32,3/32,23.14,17.4,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2014,IPL 2014,KKR,2,2,0,2,1,1.00,8,25.00,0,0,0,0,0,0,1,10.40,30,1/25,1/25,52.00,30.0,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2013,IPL 2013,DC,3,2,0,11,7,5.50,14,78.57,0,0,0,0,1,0,0,9.71,42,-,-,-,-,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
276298,Andre Dwayne Russell,"April 29, 1988, Jamaica",38y 67d,West Indies,Allrounder,2010 - 2025,2012,IPL 2012,DC,4,2,0,47,31,23.50,26,180.76,0,0,3,3,0,0,1,10.06,96,1/51,1/51,161.00,96.0,0,0,0,"April 21, 2011","July 22, 2025","March 11, 2011","June 17, 2019"
49764,Angelo Davis Mathews,"June 02, 1987, Colombo",39y 33d,Sri Lanka,Allrounder,2008 - 2025,2017,IPL 2017,DC,3,2,0,32,31,16.00,27,118.51,0,0,2,1,2,0,0,11.20,30,-,-,-,-,0,0,0,"June 08, 2009","June 16, 2024","November 28, 2008","November 09, 2023"
49764,Angelo Davis Mathews,"June 02, 1987, Colombo",39y 33d,Sri Lanka,Allrounder,2008 - 2025,2015,IPL 2015,DC,11,10,3,144,28,20.57,104,138.46,0,0,12,6,5,0,7,8.20,180,2/15,2/15,35.14,25.7,0,0,0,"June 08, 2009","June 16, 2024","November 28, 2008","November 09, 2023"
49764,Angelo Davis Mathews,"June 02, 1987, Colombo",39y 33d,Sri Lanka,Allrounder,2008 - 2025,2013,IPL 2013,PWI,11,10,3,172,40,24.57,139,123.74,0,0,5,10,5,0,5,7.74,186,3/14,3/14,48.00,37.2,0,0,0,"June 08, 2009","June 16, 2024","November 28, 2008","November 09, 2023"
49764,Angelo Davis Mathews,"June 02, 1987, Colombo",39y 33d,Sri Lanka,Allrounder,2008 - 2025,2012,IPL 2012,PWI,9,8,1,127,35,18.14,108,117.59,0,0,5,4,3,0,7,7.38,156,2/17,2/17,27.42,22.2,0,0,0,"June 08, 2009","June 16, 2024","November 28, 2008","November 09, 2023"
49764,Angelo Davis Mathews,"June 02, 1987, Colombo",39y 33d,Sri Lanka,Allrounder,2008 - 2025,2009/10,IPL 2009/10,KKR,14,11,4,233,65*,33.28,184,126.63,0,1,18,8,3,0,8,8.37,225,4/19,4/19,39.25,28.1,1,0,0,"June 08, 2009","June 16, 2024","November 28, 2008","November 09, 2023"
49764,Angelo Davis Mathews,"June 02, 1987, Colombo",39y 33d,Sri Lanka,Allrounder,2008 - 2025,2009,IPL 2009,KKR,1,1,0,16,16,16.00,13,123.07,0,0,2,0,1,0,0,13.28,14,-,-,-,-,0,0,0,"June 08, 2009","June 16, 2024","November 28, 2008","November 09, 2023"
1292495,Angkrish Raghuvanshi,"June 05, 2004, Delhi",22y 30d,India,Top order Batter,-,2026,IPL 2026,KKR,13,12,2,422,82*,42.20,288,146.52,0,5,40,19,5,1,-,-,-,-,-,-,-,-,-,-,,,,
1292495,Angkrish Raghuvanshi,"June 05, 2004, Delhi",22y 30d,India,Top order Batter,-,2025,IPL 2025,KKR,12,11,2,300,50,33.33,215,139.53,0,1,30,8,2,0,-,-,-,-,-,-,-,-,-,-,,,,
1292495,Angkrish Raghuvanshi,"June 05, 2004, Delhi",22y 30d,India,Top order Batter,-,2024,IPL 2024,KKR,10,7,0,163,54,23.28,105,155.23,0,1,16,8,4,0,-,-,-,-,-,-,-,-,-,-,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,-,2020/21,IPL 2020/21,RR,6,2,1,9,7*,9.00,10,90.00,0,0,0,1,0,0,2,11.70,102,1/39,1/39,99.50,51.0,0,0,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,-,2019,IPL 2019,PBKS,4,-,-,-,-,-,-,-,-,-,-,-,1,0,3,9.50,96,2/33,2/33,50.66,32.0,0,0,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,-,2018,IPL 2018,PBKS,8,3,0,11,8,3.66,18,61.11,0,0,1,0,2,0,11,8.52,157,5/14,5/14,20.27,14.2,0,1,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,-,2017,IPL 2017,KKR,5,1,0,4,4,4.00,7,57.14,0,0,1,0,1,0,4,7.64,84,3/37,3/37,26.75,21.0,0,0,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,-,2016,IPL 2016,KKR,4,-,-,-,-,-,-,-,-,-,-,-,0,0,3,8.90,66,1/14,1/14,32.66,22.0,0,0,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,-,2013,IPL 2013,CSK,2,1,1,2,2*,-,6,33.33,0,0,0,0,0,0,1,8.75,24,1/25,1/25,35.00,24.0,0,0,0,,,,
