year,player_name,player_id,base_price_in_cr,base_price_in_usd,status,source_text
2018,Shikhar Dhawan,28235,2,,sold,Shikhar Dhawan (Base price INR 2 crores) - sold to Sunrisers Hyderabad for INR 5.2 crores (right-to-match card)
2018,R Ashwin,26421,2,,sold,R Ashwin (Base price INR 2 crores) - sold to Kings XI Punjab for INR 7.6 crores
2018,Kieron Pollard,230559,2,,sold,Kieron Pollard (Base price INR 2 crores) - sold to Mumbai Indians for INR 5.4 crores (right-to-match card)
2018,Ben Stokes,311158,2,,sold,Ben Stokes (Base price INR 2 crores) - sold to Rajasthan Royals for INR 12.5 crores
2018,Faf du Plessis,44828,1.5,,sold,Faf du Plessis (Base price INR 1.5 crores) - sold to Chennai Super Kings for INR 1.6 crores (right-to-match card)
2018,Ajinkya Rahane,277916,2,,sold,Ajinkya Rahane (Base price INR 2 crores) - sold to Rajasthan Royals for INR 4 crores (right-to-match card)
2018,Mitchell Starc,311592,2,,sold,Mitchell Starc (Base price INR 2 crores) - sold to Kolkata Knight Riders for INR 9.4 crores
2018,Harbhajan Singh,29264,2,,sold,Harbhajan Singh (Base price INR 2 crores) - sold to Chennai Super Kings for INR 2 crores
2018,Shakib Al Hasan,56143,1,,sold,Shakib Al Hasan (Base price INR 1 crore) - sold to Sunrisers Hyderabad for INR 2 crores
2018,Glenn Maxwell,325026,2,,sold,Glenn Maxwell (Base price INR 2 crores) - sold to Delhi Daredevils for INR 9 crores
2018,Gautam Gambhir,28763,2,,sold,Gautam Gambhir (Base price INR 2 crores) - sold to Delhi Daredevils for INR 2.8 crores
2018,Dwayne Bravo,51439,2,,sold,Dwayne Bravo (Base price INR 2 crores) - sold to Chennai Super Kings for INR 6.4 crores (right-to-match card)
2018,Kane Williamson,277906,1.5,,sold,Kane Williamson (Base price INR 1.5 crores) - sold to Sunrisers Hyderabad for INR 3 crores
2018,Yuvraj Singh,36084,2,,sold,Yuvraj Singh (Base price INR 2 crores) - sold to Kings XI Punjab for INR 2 crores
2018,Karun Nair,398439,0.5,,sold,Karun Nair (Base price INR 50 lakhs) - sold to Kings XI Punjab for INR 5.6 crores
2018,KL Rahul,422108,2,,sold,KL Rahul (Base price INR 2 crores) - sold to Kings XI Punjab for INR 11 crores
2018,David Miller,321777,1.5,,sold,David Miller (Base price INR 1.5 crores) - sold to Kings XI Punjab for INR 3 crores (right-to-match card)
2018,Aaron Finch,5334,1.5,,sold,Aaron Finch (Base price INR 1.5 crores) - sold to Kings XI Punjab for INR 6.2 crores
2018,Brendon McCullum,37737,2,,sold,Brendon McCullum (Base price INR 2 crores) - sold to Royal Challengers Bangalore for INR 3.6 crores
2018,Jason Roy,298438,1.5,,sold,Jason Roy (Base price INR 1.5 crores) - sold to Delhi Daredevils for INR 1.5 crores
2018,Chris Lynn,326637,2,,sold,Chris Lynn (Base price INR 2 crores) - sold to Kolkata Knight Riders for INR 9.6 crores
2018,Manish Pandey,290630,1,,sold,Manish Pandey (Base price INR 1 crore) - sold to Sunrisers Hyderabad for INR 11 crores
2018,Chris Woakes,247235,2,,sold,Chris Woakes (Base price INR 2 crores) - sold to Royal Challengers Bangalore for INR 7.4 crores
