year,player_name,player_id,base_price_in_cr,status,source_text
2025,Khrievitso Kense,1246493,0.04,unsold,Khrievitso Kense | 0.04 | Unsold
2025,Shivalik Sharma,1167965,0.04,unsold,Shivalik Sharma | 0.04 | Unsold
2025,Leus du Plooy,595739,0.06,unsold,Leus du Plooy | 0.06 | Unsold
2025,Tom Latham,388802,0.18,unsold,Tom Latham | 0.18 | Unsold
2025,Murugan Ashwin,528067,0.04,unsold,Murugan Ashwin | 0.04 | Unsold
2025,Tanush Kotian,1125960,0.04,unsold,Tanush Kotian | 0.04 | Unsold
2025,Prince Choudhary,1412827,0.04,unsold,Prince Choudhary | 0.04 | Unsold
2025,Yash Dabas,1460387,0.04,unsold,Yash Dabas | 0.04 | Unsold
2025,Digvijay Deshmukh,1206410,0.04,unsold,Digvijay Deshmukh | 0.04 | Unsold
2025,Umang Kumar,1247122,0.04,unsold,Umang Kumar | 0.04 | Unsold
2025,Sanjay Yadav,1048841,0.04,unsold,Sanjay Yadav | 0.04 | Unsold
2025,Avinash Singh,1350765,0.04,unsold,Avinash Singh | 0.04 | Unsold
2025,Ripal Patel,1201520,0.04,unsold,Ripal Patel | 0.04 | Unsold
2025,Chris Jordan,288992,0.24,unsold,Chris Jordan | 0.24 | Unsold
2025,Kyle Jamieson,625960,0.18,unsold,Kyle Jamieson | 0.18 | Unsold
2025,Nathan Smith,959771,0.12,unsold,Nathan Smith | 0.12 | Unsold
2025,Roston Chase,391832,0.09,unsold,Roston Chase | 0.09 | Unsold
2025,Vijay Kumar,1449032,0.04,unsold,Vijay Kumar | 0.04 | Unsold
2025,Atit Sheth,652361,0.04,unsold,Atit Sheth | 0.04 | Unsold
2025,Brandon McMullen,949473,0.04,unsold,Brandon McMullen | 0.04 | Unsold
2025,Blessing Muzarabani,827051,0.09,unsold,Blessing Muzarabani | 0.09 | Unsold
2025,Dwaine Pretorius,327830,0.09,unsold,Dwaine Pretorius | 0.09 | Unsold
2025,Anirudh Chowdhary,1460375,0.04,unsold,Anirudh Chowdhary | 0.04 | Unsold
2025,Shiva Singh,1070194,0.04,unsold,Shiva Singh | 0.04 | Unsold
2025,Raj Limbani,1410814,0.04,unsold,Raj Limbani | 0.04 | Unsold
2025,Olly Stone,457279,0.09,unsold,Olly Stone | 0.09 | Unsold
2025,Lance Morris,1125317,0.15,unsold,Lance Morris | 0.15 | Unsold
2025,Tejasvi Dahiya,1460372,0.04,unsold,Tejasvi Dahiya | 0.04 | Unsold
2025,Abdul Basith,1287067,0.04,unsold,Abdul Basith | 0.04 | Unsold
2025,Sandeep Warrier,592735,0.09,unsold,Sandeep Warrier | 0.09 | Unsold
2025,Chetan Sakariya,1131754,0.09,unsold,Chetan Sakariya | 0.09 | Unsold
2025,Will O’Rourke,1211825,0.18,unsold,Will O’Rourke | 0.18 | Unsold
2025,Adam Milne,450860,0.24,unsold,Adam Milne | 0.24 | Unsold
2025,Dilshan Madushanka,793007,0.09,unsold,Dilshan Madushanka | 0.09 | Unsold
2025,Ottneil Baartman,535353,0.09,unsold,Ottneil Baartman | 0.09 | Unsold
2025,Michael Bracewell,326968,0.18,unsold,Michael Bracewell | 0.18 | Unsold
2025,Divesh Sharma,1412829,0.04,unsold,Divesh Sharma | 0.04 | Unsold
2025,Naman Tiwari,1408677,0.04,unsold,Naman Tiwari | 0.04 | Unsold
2025,Emanjot Singh Chahal,1454587,0.04,unsold,Emanjot Singh Chahal | 0.04 | Unsold
2025,Salman Nizar,826349,0.04,unsold,Salman Nizar | 0.04 | Unsold
