year,player_id,player_name,team,base_price_in_usd,cost_usd,sold_price,sold_price_in_cr,base_price,base_price_in_cr
2010,230559,Kieron Pollard,Mumbai Indians,200000,750000,34389375,3.4389375,9170500,0.91705
2010,36326,Shane Bond,Kolkata Knight Riders,100000,750000,34389375,3.4389375,4585250,0.458525
2010,230553,Kemar Roach,Deccan Chargers,100000,720000,33013800,3.30138,4585250,0.458525
2010,265564,Wayne Parnell,Delhi Capitals,200000,610000,27970025,2.7970025,9170500,0.91705
2010,29990,Mohammad Kaif,Kings XI Punjab,100000,250000,11463125,1.1463125,4585250,0.458525
2010,24598,Eoin Morgan,Royal Challengers Bangalore,200000,220000,10087550,1.008755,9170500,0.91705
2010,45797,Justin Kemp,Chennai Super Kings,100000,100000,4585250,0.458525,4585250,0.458525
2010,6513,Damien Martyn,Rajasthan Royals,100000,100000,4585250,0.458525,4585250,0.458525
2010,233514,Thisara Perera,Chennai Super Kings,50000,50000,2292625,0.2292625,2292625,0.2292625
2010,8119,Adam Voges,Rajasthan Royals,50000,50000,2292625,0.2292625,2292625,0.2292625
2010,224367,Yusuf Abdulla,Kings XI Punjab,20000,20000,917050,0.091705,917050,0.091705
