year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,country,type,cost_inr_lakh,cost_usd,status,transferred,overseas,sold_price,sold_price_in_cr
2014,Royal Challengers Bangalore,600000000,0,36084,Yuvraj Singh,Yuvraj Singh,,IND,AR,1400,2333000,New,FALSE,FALSE,140000000,14
2014,Royal Challengers Bangalore,600000000,0,311592,MA Starc,MA Starc,,AUS,BOW,500,833000,New,FALSE,TRUE,50000000,5
2014,Royal Challengers Bangalore,600000000,0,46248,JA Morkel,JA Morkel,,SA,AR,240,400000,New,FALSE,TRUE,24000000,2.4
2014,Royal Challengers Bangalore,600000000,0,360911,VR Aaron,VR Aaron,,IND,BOW,200,333000,New,FALSE,FALSE,20000000,2
2014,Royal Challengers Bangalore,600000000,0,227712,AB Dinda,AB Dinda,,IND,BOW,150,250000,New,FALSE,FALSE,15000000,1.5
2014,Royal Challengers Bangalore,600000000,0,32242,PA Patel,PA Patel,,IND,BAT/WK,140,233000,New,FALSE,FALSE,14000000,1.4
2014,Royal Challengers Bangalore,600000000,0,49636,M Muralitharan,M Muralitharan,,SL,BOW,100,166000,New,FALSE,TRUE,10000000,1
2014,Royal Challengers Bangalore,600000000,0,52912,R Rampaul,R Rampaul,,WI,BOW,90,150000,New,FALSE,TRUE,9000000,0.9
2014,Royal Challengers Bangalore,600000000,0,333780,NJ Maddinson,NJ Maddinson,,AUS,BAT,50,83000,New,FALSE,TRUE,5000000,0.5
2014,Royal Challengers Bangalore,600000000,0,390481,HV Patel,HV Patel,,IND,BOW,40,66000,RTM,FALSE,FALSE,4000000,0.4
2014,Royal Challengers Bangalore,600000000,0,228430,AN Ahmed,AN Ahmed,,IND,BOW,30,50000,New,FALSE,FALSE,3000000,0.3
2014,Royal Challengers Bangalore,600000000,0,554699,VH Zol,VH Zol,,IND,BAT,30,50000,New,FALSE,FALSE,3000000,0.3
2014,Royal Challengers Bangalore,600000000,0,33757,S Rana,S Rana,,IND,BOW,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Royal Challengers Bangalore,600000000,0,29655,SB Jakati,SB Jakati,,IND,BOW,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Royal Challengers Bangalore,600000000,0,35357,YV Takawale,YV Takawale,,IND,BAT/WK,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Royal Challengers Bangalore,600000000,0,24790,T Mishra,T Mishra,,KENYA,BAT,10,16000,New,FALSE,TRUE,1000000,0.1
2014,Royal Challengers Bangalore,600000000,0,430246,YS Chahal,YS Chahal,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Royal Challengers Bangalore,600000000,0,592735,S Sandeep Warrier,S Sandeep Warrier,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Royal Challengers Bangalore,600000000,0,44936,AB de Villiers,AB de Villiers,,SA,BAT/WK,,,New,FALSE,TRUE,,
2014,Royal Challengers Bangalore,600000000,0,253802,V Kohli,V Kohli,,IND,BAT,,,New,FALSE,FALSE,,
2014,Royal Challengers Bangalore,600000000,0,51880,CH Gayle,CH Gayle,,WI,BAT,,,New,FALSE,TRUE,,
2014,Kolkata Knight Riders,590000000,10000000,45789,JH Kallis,JH Kallis,,SA,AR,550,916000,RTM,FALSE,TRUE,55000000,5.5
2014,Kolkata Knight Riders,590000000,10000000,35582,RV Uthappa,RV Uthappa,,IND,BAT,500,833000,New,FALSE,FALSE,50000000,5
2014,Kolkata Knight Riders,590000000,10000000,32966,PP Chawla,PP Chawla,,IND,BOW,425,708000,New,FALSE,FALSE,42500000,4.25
2014,Kolkata Knight Riders,590000000,10000000,32498,YK Pathan,YK Pathan,,IND,AR,325,541000,RTM,FALSE,FALSE,32500000,3.25
2014,Kolkata Knight Riders,590000000,10000000,35731,R Vinay Kumar,R Vinay Kumar,,IND,BOW,280,466000,New,FALSE,FALSE,28000000,2.8
2014,Kolkata Knight Riders,590000000,10000000,46538,M Morkel,M Morkel,,SA,BOW,280,466000,New,FALSE,TRUE,28000000,2.8
2014,Kolkata Knight Riders,590000000,10000000,56143,Shakib Al Hasan,Shakib Al Hasan,,BAN,AR,280,466000,New,FALSE,TRUE,28000000,2.8
2014,Kolkata Knight Riders,590000000,10000000,376116,UT Yadav,UT Yadav,,IND,BOW,260,433000,New,FALSE,FALSE,26000000,2.6
2014,Kolkata Knight Riders,590000000,10000000,290630,MK Pandey,MK Pandey,,IND,BAT,170,283000,New,FALSE,FALSE,17000000,1.7
2014,Kolkata Knight Riders,590000000,10000000,326637,CA Lynn,CA Lynn,,AUS,BAT,130,216000,New,FALSE,TRUE,13000000,1.3
2014,Kolkata Knight Riders,590000000,10000000,47660,RN ten Doeschate,RN ten Doeschate,,NETH,AR,100,166000,New,FALSE,TRUE,10000000,1
2014,Kolkata Knight Riders,590000000,10000000,489889,PJ Cummins,PJ Cummins,,AUS,BOW,100,166000,New,FALSE,TRUE,10000000,1
2014,Kolkata Knight Riders,590000000,10000000,446507,SA Yadav,SA Yadav,,IND,BAT,70,116000,New,FALSE,FALSE,7000000,0.7
2014,Kolkata Knight Riders,590000000,10000000,27280,MS Bisla,MS Bisla,,IND,BAT/WK,60,100000,New,FALSE,FALSE,6000000,0.6
2014,Kolkata Knight Riders,590000000,10000000,276298,AD Russell,AD Russell,,WI,AR,60,100000,New,FALSE,TRUE,6000000,0.6
2014,Kolkata Knight Riders,590000000,10000000,528967,V Pratap Singh,V Pratap Singh,,IND,BOW,40,66000,New,FALSE,FALSE,4000000,0.4
2014,Kolkata Knight Riders,590000000,10000000,559235,Kuldeep Yadav,Kuldeep Yadav,,IND,BOW,40,66000,New,FALSE,FALSE,4000000,0.4
2014,Kolkata Knight Riders,590000000,10000000,328163,DB Das,DB Das,,IND,BAT/WK,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Kolkata Knight Riders,590000000,10000000,433356,SS Mondal,SS Mondal,,IND,AR,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Kolkata Knight Riders,590000000,10000000,230558,SP Narine,SP Narine,,WI,BOW,,,New,FALSE,TRUE,,
2014,Kolkata Knight Riders,590000000,10000000,28763,G Gambhir,G Gambhir,,IND,BAT,,,New,FALSE,FALSE,,
2014,Kings XI Punjab,651000000,51000000,6033,MG Johnson,MG Johnson,,AUS,AR,650,1083000,New,FALSE,TRUE,65000000,6.5
2014,Kings XI Punjab,651000000,51000000,325026,GJ Maxwell,GJ Maxwell,,AUS,AR,600,1000000,New,FALSE,TRUE,60000000,6
2014,Kings XI Punjab,651000000,51000000,4451,GJ Bailey,GJ Bailey,,AUS,BAT,325,541000,New,FALSE,TRUE,32500000,3.25
2014,Kings XI Punjab,651000000,51000000,35263,V Sehwag,V Sehwag,,IND,BAT,320,533000,New,FALSE,FALSE,32000000,3.2
2014,Kings XI Punjab,651000000,51000000,290727,R Dhawan,R Dhawan,,IND,AR,300,500000,New,FALSE,FALSE,30000000,3
2014,Kings XI Punjab,651000000,51000000,6683,SE Marsh,SE Marsh,,AUS,BAT,220,366000,New,FALSE,TRUE,22000000,2.2
2014,Kings XI Punjab,651000000,51000000,279810,WP Saha,WP Saha,,IND,BAT/WK,220,366000,New,FALSE,FALSE,22000000,2.2
2014,Kings XI Punjab,651000000,51000000,32540,CA Pujara,CA Pujara,,IND,BAT,190,316000,New,FALSE,FALSE,19000000,1.9
2014,Kings XI Punjab,651000000,51000000,379927,BE Hendricks,BE Hendricks,,SA,BOW,180,300000,New,FALSE,TRUE,18000000,1.8
2014,Kings XI Punjab,651000000,51000000,26829,L Balaji,L Balaji,,IND,BOW,180,300000,New,FALSE,FALSE,18000000,1.8
2014,Kings XI Punjab,651000000,51000000,233514,NLTC Perera,NLTC Perera,,SL,AR,160,266000,New,FALSE,TRUE,16000000,1.6
2014,Kings XI Punjab,651000000,51000000,537124,Gurkeerat Singh,Gurkeerat Singh,,IND,BAT,130,216000,New,FALSE,FALSE,13000000,1.3
2014,Kings XI Punjab,651000000,51000000,30049,M Kartik,M Kartik,,IND,BOW,100,166000,New,FALSE,FALSE,10000000,1
2014,Kings XI Punjab,651000000,51000000,438362,Sandeep Sharma (1),Sandeep Sharma (1),,IND,BOW,85,141000,New,FALSE,FALSE,8500000,0.85
2014,Kings XI Punjab,651000000,51000000,398506,Mandeep Singh,Mandeep Singh,,IND,AR,80,133000,RTM,FALSE,FALSE,8000000,0.8
2014,Kings XI Punjab,651000000,51000000,554691,AR Patel,AR Patel,,IND,AR,75,125000,New,FALSE,FALSE,7500000,0.75
2014,Kings XI Punjab,651000000,51000000,323131,P Awana,P Awana,,IND,BOW,65,108000,RTM,FALSE,FALSE,6500000,0.65
2014,Kings XI Punjab,651000000,51000000,376324,Anureet Singh,Anureet Singh,,IND,BOW,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Kings XI Punjab,651000000,51000000,475281,SN Thakur,SN Thakur,,IND,BOW,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Kings XI Punjab,651000000,51000000,322535,Karanveer Singh,Karanveer Singh,,IND,AR,10,16000,New,FALSE,FALSE,1000000,0.1
