year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,status,transferred,overseas,sold_price_in_cr,sold_price
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,459257,Tymal Mills,Tymal Mills,,BOW,1200,1791000,New,FALSE,TRUE,12,120000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,527299,Aniket Choudhary,Aniket Choudhary,,BOW,200,298000,New,FALSE,FALSE,2,20000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,530773,Pawan Negi,Pawan Negi,,AR,100,149000,New,FALSE,FALSE,1,10000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,533042,Billy Stanlake,Billy Stanlake,,BOW,30,44000,New,FALSE,TRUE,0.3,3000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,777515,Praveen Dubey,Praveen Dubey,,AR,10,14000,New,FALSE,FALSE,0.1,1000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,253802,Virat Kohli,Virat Kohli,,BAT,1250,1865000,Retained,FALSE,FALSE,12.5,125000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,27223,Stuart Binny,Stuart Binny,,AR,200,298000,Retained,FALSE,FALSE,2,20000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,277237,Iqbal Abdulla,Iqbal Abdulla,,BOW,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,290632,S Aravind,S Aravind,,BOW,10,14000,Retained,FALSE,FALSE,0.1,1000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,290716,Kedar Jadhav,Kedar Jadhav,,BAT,217,324000,Retained,FALSE,FALSE,2.17,21700000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,379145,Tabraiz Shamsi,Tabraiz Shamsi,,BOW,10,14000,Retained,FALSE,TRUE,0.1,1000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,390481,Harshal Patel,Harshal Patel,,BOW,40,59000,Retained,FALSE,FALSE,0.4,4000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,398506,Mandeep Singh,Mandeep Singh,,BAT,80,119000,Retained,FALSE,FALSE,0.8,8000000
2017,Royal Challengers Bangalore,63.575 cr,2.425 cr,422108,KL Rahul,KL Rahul,,WK,100,149000,Retained,FALSE,FALSE,1,10000000
