year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,,,status,transferred,overseas,sold_price_in_cr,sold_price
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,1083851,Suyash Prabhudessai,Suyash Prabhudessai,,AR,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,1119026,Devdutt Padikkal,Devdutt Padikkal,,BAT,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,1124282,Joshua Philippe,Joshua Philippe,,BAT/WK,20,27000,,27000000,Retained,FALSE,TRUE,0.2,2000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,1159711,Shahbaz Ahmed,Shahbaz Ahmed,,BAT/WK,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,253802,Virat Kohli,Virat Kohli,,BAT,1700,2328000,,2328000000,Retained,FALSE,FALSE,17,170000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,272262,Kane Richardson,Kane Richardson,,BOW,400,547000,,547000000,Retained,FALSE,TRUE,4,40000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,325026,Glenn Maxwell,Glenn Maxwell,,AR,1425,1952000,,1952000000,New,FALSE,TRUE,14.25,142500000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,379504,Adam Zampa,Adam Zampa,,BOW,150,205000,,205000000,Retained,FALSE,TRUE,1.5,15000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,390481,Harshal Patel,Harshal Patel,,AR,20,27000,,27000000,Retained,TRUE,FALSE,0.2,2000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,422104,Pavan Deshpande,Pavan Deshpande,,AR,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,430246,Yuzvendra Chahal,Yuzvendra Chahal,,BOW,600,821000,,821000000,Retained,FALSE,FALSE,6,60000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,432783,Sachin Baby,Sachin Baby,,BAT,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,44936,AB de Villiers,AB de Villiers,,BAT,1100,1506000,,1506000000,Retained,FALSE,TRUE,11,110000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,4864,Daniel Christian,Daniel Christian,,AR,480,657000,,657000000,New,FALSE,TRUE,4.8,48000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,529436,KS Bharat,KS Bharat,,BAT/WK,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,625960,Kyle Jamieson,Kyle Jamieson,,AR,1500,2054000,,2054000000,New,FALSE,TRUE,15,150000000
2021,Royal Challengers Bangalore,84.65 cr,0.35 cr,700167,Navdeep Saini,Navdeep Saini,,BOW,300,410000,,410000000,Retained,FALSE,FALSE,3,30000000
