year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd_000,status,transferred,overseas,sold_price_in_cr,sold_price
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,253802,Virat Kohli,Virat Kohli,,BAT,1500,1829,Retained,False,False,15.0,150000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,325026,Glenn Maxwell,Glenn Maxwell,,AR,1100,1341,Retained,False,True,11.0,110000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,390481,Harshal Patel,Harshal Patel,,AR,1075,1310,Retained,False,False,10.75,107500000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,784379,Wanindu Hasaranga,Wanindu Hasaranga,,AR,1075,1310,Retained,False,True,10.75,107500000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,288284,Josh Hazlewood,Josh Hazlewood,,BOW,775,945,Retained,False,True,7.75,77500000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,44828,Faf du Plessis,Faf du Plessis,,BAT,700,853,Retained,False,True,7.0,70000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,940973,Mohammed Siraj,Mohammed Siraj,,BOW,700,853,Retained,False,False,7.0,70000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,30045,Dinesh Karthik,Dinesh Karthik,,BAT/WK,550,670,Retained,False,False,5.5,55000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,1123073,Anuj Rawat,Anuj Rawat,,BAT/WK,340,414,Retained,False,False,3.4,34000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,897549,Will Jacks,Will Jacks,,BAT,320,390,New,False,True,3.2,32000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,1159711,Shahbaz Ahmed,Shahbaz Ahmed,,AR,240,292,Retained,False,False,2.4,24000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,308251,David Willey,David Willey,,AR,200,243,Retained,False,True,2.0,20000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,461632,Reece Topley,Reece Topley,,BOW,190,231,New,False,True,1.9,19000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,853265,Mahipal Lomror,Mahipal Lomror,,AR,95,115,Retained,False,False,0.95,9500000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,959759,Finn Allen,Finn Allen,,BAT,80,97,Retained,False,True,0.8,8000000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,326017,Siddarth Kaul,Siddarth Kaul,,BOW,75,91,Retained,False,False,0.75,7500000
2023,Royal Challengers Bangalore,93.25 cr,1.75 cr,1339027,Rajan Kumar,Rajan Kumar,,BOW,70,85,New,False,False,0.7,7000000
