team,purse_spent,purse_left,players_bought,overseas_buys,player_id,player_name,player_fullname,birthdate,type,base_price,sold_price,sold_price_in_cr,status,transferred,overseas
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1060380,RD Gaikwad,Ruturaj Gaikwad,1/31/1997,BATTER,0,180000000,18,Retained,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,234675,RA Jadeja,Ravindra Jadeja,12/6/1988,ALL_ROUNDER,0,180000000,18,Retained,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1194795,M Pathirana,Matheesha Pathirana,12/18/2002,BOWLER,0,130000000,13,Retained,FALSE,TRUE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,714451,S Dube,Shivam Dube,6/26/1993,ALL_ROUNDER,0,120000000,12,Retained,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1182529,Noor Ahmad,Noor Ahmad,1/3/2005,BOWLER,20000000,100000000,10,New,FALSE,TRUE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,26421,R Ashwin,Ravichandran Ashwin,9/17/1986,ALL_ROUNDER,20000000,97500000,9.75,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,379140,DP Conway,Devon Conway,7/8/1991,BATTER,20000000,62500000,6.25,New,FALSE,TRUE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,942645,KK Ahmed,Khaleel Ahmed,12/5/1997,BOWLER,20000000,48000000,4.8,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,959767,R Ravindra,Rachin Ravindra,11/18/1999,ALL_ROUNDER,15000000,40000000,4,RTM,FALSE,TRUE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,28081,MS Dhoni,MS Dhoni,7/7/1981,BATTER,0,40000000,4,Retained,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1175428,A Kamboj,Anshul Kamboj,12/6/2000,ALL_ROUNDER,3000000,34000000,3.4,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,446763,RA Tripathi,Rahul Tripathi,3/2/1991,BATTER,7500000,34000000,3.4,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,662973,SM Curran,Sam Curran,6/3/1998,ALL_ROUNDER,20000000,24000000,2.4,New,FALSE,TRUE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1269869,Gurjapneet Singh,Gurjapneet Singh,11/8/1998,BOWLER,3000000,22000000,2.2,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,826915,NT Ellis,Nathan Ellis,9/22/1994,BOWLER,12500000,20000000,2,New,FALSE,TRUE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,497121,DJ Hooda,Deepak Hooda,4/19/1995,ALL_ROUNDER,7500000,17000000,1.7,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,510530,J Overton,Jamie Overton,4/10/1994,ALL_ROUNDER,15000000,15000000,1.5,New,FALSE,TRUE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,477021,V Shankar,Vijay Shankar,1/26/1991,ALL_ROUNDER,3000000,12000000,1.2,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1413379,V Bedi,Vansh Bedi,12/23/2002,BATTER,3000000,5500000,0.55,New,FALSE,FALSE
