year,player_id,player_name,team,sold_price,sold_price_in_cr,sold_price_in_usd,base_price,base_price_in_cr,base_price_in_usd,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas,auction_result,id_source,prior_season,player_name_stats,birthdate,age,nationality,player_role,batting_style,bowling_style,international_career,tournament,team_stats,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end,bbi_wkts,bbi_runs,bbm_wkts,bbm_runs,has_prior_season,is_mega_auction,int_value,is_capped,age_during_auction,overseas2
2008,46248.0,Albie Morkel,Chennai Super Kings,27000000.0,2.7,675000.0,9000000.0,0.9,225000.0,,,,,,,,sold,from auction file,2007,,1981-06-10,,South Africa,Bowling Allrounder,Left hand Bat,Right arm Medium fast,2004 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-21,2015-10-05,2004-02-20,2012-03-03,,,,,False,True,2004,True,27.0,True
2008,38062.0,Jacob Oram,Chennai Super Kings,27000000.0,2.7,675000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1978-07-28,,New Zealand,Allrounder,Left hand Bat,Right arm Fast medium,2001 - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-21,2012-10-30,2001-01-04,2012-11-06,,,,,False,True,2001,True,30.0,True
2008,29976.0,Joginder Sharma,Chennai Super Kings,9000000.0,0.9,225000.0,4000000.0,0.4,100000.0,,,,,,,,sold,from auction file,2007,,1983-10-23,,India,Allrounder,Right hand Bat,Right arm Fast medium,2004 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-19,2007-09-24,2004-12-23,2007-01-24,,,,,False,True,2004,True,25.0,False
2008,28081.0,Mahendra Singh Dhoni,Chennai Super Kings,60000000.0,6.0,1500000.0,16000000.0,1.6,400000.0,,,,,,,,sold,from auction file,2007,,1981-07-07,,India,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-01,2019-02-27,2004-12-23,2019-07-09,,,,,False,True,2004,True,27.0,False
2008,46592.0,Makhaya Ntini,Chennai Super Kings,8000000.0,0.8,200000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1977-07-06,,South Africa,Bowler,Right hand Bat,Right arm Fast,1998 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-21,2011-01-09,1998-01-16,2009-04-17,,,,,False,True,1998,True,31.0,True
2008,5616.0,Matthew Hayden,Chennai Super Kings,15000000.0,1.5,375000.0,9000000.0,0.9,225000.0,,,,,,,,sold,from auction file,2007,,1971-10-29,,Australia,Opening Batter,Left hand Bat,Right arm Medium,1993 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-06-13,2007-10-20,1993-05-19,2008-03-04,,,,,False,True,1993,True,37.0,True
2008,5939.0,Michael Hussey,Chennai Super Kings,10000000.0,1.0,250000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1975-05-27,,Australia,Middle order Batter,Left hand Bat,Right arm Medium,2004 - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2012-10-05,2004-02-01,2012-09-03,,,,,False,True,2004,True,33.0,True
2008,49636.0,Muttiah Muralitharan,Chennai Super Kings,24000000.0,2.4,600000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1972-04-17,,Sri Lanka,Bowler,Right hand Bat,Right arm Offbreak,1992 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-22,2010-10-31,1993-08-12,2011-04-02,,,,,False,True,1992,True,36.0,True
2008,32242.0,Parthiv Patel,Chennai Super Kings,13000000.0,1.3,325000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1985-03-09,,India,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,2002 - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-04,2011-08-31,2003-01-04,2012-02-21,,,,,False,True,2002,True,23.0,False
2008,37000.0,Stephen Fleming,Chennai Super Kings,14000000.0,1.4,350000.0,14000000.0,1.4,350000.0,,,,,,,,sold,from auction file,2007,,1973-04-01,,New Zealand,Top order Batter,Left hand Bat,,1994 - 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2006-12-26,1994-03-25,2007-04-24,,,,,False,True,1994,True,35.0,True
