year,player_id,player_name,team,sold_price,sold_price_in_cr,sold_price_in_usd,base_price,base_price_in_cr,base_price_in_usd,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas
2008,46248,Albie Morkel,Chennai Super Kings,27000000,2.7,675000,9000000,0.9,225000,,,,,,,
2008,38062,Jacob Oram,Chennai Super Kings,27000000,2.7,675000,8000000,0.8,200000,,,,,,,
2008,29976,Joginder Sharma,Chennai Super Kings,9000000,0.9,225000,4000000,0.4,100000,,,,,,,
2008,28081,Mahendra Singh Dhoni,Chennai Super Kings,60000000,6,1500000,16000000,1.6,400000,,,,,,,
2008,46592,Makhaya Ntini,Chennai Super Kings,8000000,0.8,200000,8000000,0.8,200000,,,,,,,
2008,5616,Matthew Hayden,Chennai Super Kings,15000000,1.5,375000,9000000,0.9,225000,,,,,,,
2008,5939,Michael Hussey,Chennai Super Kings,10000000,1,250000,10000000,1,250000,,,,,,,
2008,49636,Muttiah Muralitharan,Chennai Super Kings,24000000,2.4,600000,10000000,1,250000,,,,,,,
2008,32242,Parthiv Patel,Chennai Super Kings,13000000,1.3,325000,6000000,0.6,150000,,,,,,,
2008,37000,Stephen Fleming,Chennai Super Kings,14000000,1.4,350000,14000000,1.4,350000,,,,,,,
2008,33335,Suresh Raina,Chennai Super Kings,26000000,2.6,650000,5000000,0.5,125000,,,,,,,
2008,5390,Adam Gilchrist,Deccan Chargers,28000000,2.8,700000,12000000,1.2,300000,,,,,,,
2008,7702,Andrew Symonds,Deccan Chargers,54000000,5.4,1350000,10000000,1,250000,,,,,,,
2008,50431,Chamara Silva,Deccan Chargers,4000000,0.4,100000,4000000,0.4,100000,,,,,,,
2008,50804,Chaminda Vaas,Deccan Chargers,8000000,0.8,200000,8000000,0.8,200000,,,,,,,
2008,45224,Herschelle Gibbs,Deccan Chargers,23000000,2.3,575000,10000000,1,250000,,,,,,,
2008,51050,Nuwan Zoysa,Deccan Chargers,4400000,0.44,110000,4000000,0.4,100000,,,,,,,
2008,35280,R P Singh,Deccan Chargers,35000000,3.5,875000,8000000,0.8,200000,,,,,,,
2008,34102,Rohit Sharma,Deccan Chargers,30000000,3,750000,6000000,0.6,150000,,,,,,,
2008,38407,Scott Styris,Deccan Chargers,7000000,0.7,175000,7000000,0.7,175000,,,,,,,
2008,42639,Shahid Afridi,Deccan Chargers,27000000,2.7,675000,9000000,0.9,225000,,,,,,,
2008,30750,VVS Laxman,Deccan Chargers,15000000,1.5,375000,6000000,0.6,150000,,,,,,,
2008,44936,AB de Villiers,Delhi Daredevils,12000000,1.2,300000,8000000,0.8,200000,,,,,,,
2008,38710,Daniel Vettori,Delhi Daredevils,25000000,2.5,625000,10000000,1,250000,,,,,,,
2008,30045,Dinesh Karthik,Delhi Daredevils,21000000,2.1,525000,8000000,0.8,200000,,,,,,,
2008,49638,Farveez Maharoof,Delhi Daredevils,9000000,0.9,225000,6000000,0.6,150000,,,,,,,
2008,28763,Gautam Gambhir,Delhi Daredevils,29000000,2.9,725000,8800000,0.88,220000,,,,,,,
2008,6565,Glenn McGrath,Delhi Daredevils,14000000,1.4,350000,14000000,1.4,350000,,,,,,,
2008,35565,Manoj Tiwary,Delhi Daredevils,27000000,2.7,675000,4000000,0.4,100000,,,,,,,
2008,41411,Mohammad Asif,Delhi Daredevils,26000000,2.6,650000,9000000,0.9,225000,,,,,,,
2008,42657,Shoaib Malik,Delhi Daredevils,20000000,2,500000,12000000,1.2,300000,,,,,,,
2008,48472,Tillakaratne Dilshan,Delhi Daredevils,10000000,1,250000,6080000,0.608,152000,,,,,,,
2008,6278,Brett Lee,Kings XI Punjab,36000000,3.6,900000,12000000,1.2,300000,,,,,,,
2008,32685,Irfan Pathan,Kings XI Punjab,37000000,3.7,925000,8000000,0.8,200000,,,,,,,
2008,50710,Kumar Sangakkara,Kings XI Punjab,28000000,2.8,700000,10000000,1,250000,,,,,,,
2008,49289,Mahela Jayawardene,Kings XI Punjab,19000000,1.9,475000,10000000,1,250000,,,,,,,
2008,32966,Piyush Chawla,Kings XI Punjab,16000000,1.6,400000,5000000,0.5,125000,,,,,,,
2008,32391,Ramesh Powar,Kings XI Punjab,6800000,0.68,170000,6000000,0.6,150000,,,,,,,
2008,52969,Ramnaresh Sarwan,Kings XI Punjab,9000000,0.9,225000,9000000,0.9,225000,,,,,,,
2008,6128,Simon Katich,Kings XI Punjab,8000000,0.8,200000,8000000,0.8,200000,,,,,,,
2008,34274,Sreesanth,Kings XI Punjab,25000000,2.5,625000,8000000,0.8,200000,,,,,,,
2008,26184,Ajit Agarkar,Kolkata Knight Riders,14000000,1.4,350000,8000000,0.8,200000,,,,,,,
2008,37737,Brendon McCullum,Kolkata Knight Riders,28000000,2.8,700000,7000000,0.7,175000,,,,,,,
2008,51880,Chris Gayle,Kolkata Knight Riders,32000000,3.2,800000,10000000,1,250000,,,,,,,
2008,5766,David Hussey,Kolkata Knight Riders,25000000,2.5,625000,4000000,0.4,100000,,,,,,,
2008,236779,Ishant Sharma,Kolkata Knight Riders,38000000,3.8,950000,6000000,0.6,150000,,,,,,,
2008,30049,Murali Kartik,Kolkata Knight Riders,17000000,1.7,425000,8000000,0.8,200000,,,,,,,
2008,7133,Ricky Ponting,Kolkata Knight Riders,16000000,1.6,400000,13400000,1.34,335000,,,,,,,
2008,42655,Shoaib Akhtar,Kolkata Knight Riders,17000000,1.7,425000,10000000,1,250000,,,,,,,
2008,55805,Tatenda Taibu,Kolkata Knight Riders,5000000,0.5,125000,5000000,0.5,125000,,,,,,,
2008,43524,Umar Gul,Kolkata Knight Riders,6000000,0.6,150000,6000000,0.6,150000,,,,,,,
2008,48835,Dilhara Fernando,Mumbai Indians,6000000,0.6,150000,6000000,0.6,150000,,,,,,,
2008,29264,Harbhajan Singh,Mumbai Indians,34000000,3.4,850000,10000000,1,250000,,,,,,,
2008,49758,Lasith Malinga,Mumbai Indians,14000000,1.4,350000,8000000,0.8,200000,,,,,,,
2008,44098,Loots Bosman,Mumbai Indians,7000000,0.7,175000,6000000,0.6,150000,,,,,,,
2008,35582,Robin Uthappa,Mumbai Indians,32000000,3.2,800000,8000000,0.8,200000,,,,,,,
2008,49209,Sanath Jayasuriya,Mumbai Indians,39000000,3.9,975000,10000000,1,250000,,,,,,,
2008,46774,Shaun Pollock,Mumbai Indians,22000000,2.2,550000,8000000,0.8,200000,,,,,,,
2008,47270,Graeme Smith,Rajasthan Royals,10000000,1,250000,10000000,1,250000,,,,,,,
2008,6256,Justin Langer,Rajasthan Royals,8000000,0.8,200000,8000000,0.8,200000,,,,,,,
2008,41028,Kamran Akmal,Rajasthan Royals,6000000,0.6,150000,6000000,0.6,150000,,,,,,,
2008,29990,Mohammad Kaif,Rajasthan Royals,27000000,2.7,675000,5000000,0.5,125000,,,,,,,
2008,32965,Munaf Patel,Rajasthan Royals,11000000,1.1,275000,4000000,0.4,100000,,,,,,,
2008,8166,Shane Warne,Rajasthan Royals,18000000,1.8,450000,18000000,1.8,450000,,,,,,,
2008,43652,Younis Khan,Rajasthan Royals,9000000,0.9,225000,9000000,0.9,225000,,,,,,,
