year,player_id,player_name,team,sold_price,sold_price_in_cr,sold_price_in_usd,base_price,base_price_in_cr,base_price_in_usd,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas,auction_result,id_source,prior_season,player_name_stats,birthdate,age,nationality,player_role,batting_style,bowling_style,international_career,tournament,team_stats,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end,bbi_wkts,bbi_runs,bbm_wkts,bbm_runs,has_prior_season,is_mega_auction,int_value,is_capped
2008,46248,Albie Morkel,Chennai Super Kings,27000000,2.7,675000,9000000,0.9,225000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,38062,Jacob Oram,Chennai Super Kings,27000000,2.7,675000,8000000,0.8,200000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,29976,Joginder Sharma,Chennai Super Kings,9000000,0.9,225000,4000000,0.4,100000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,28081,Mahendra Singh Dhoni,Chennai Super Kings,60000000,6,1500000,16000000,1.6,400000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,46592,Makhaya Ntini,Chennai Super Kings,8000000,0.8,200000,8000000,0.8,200000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,5616,Matthew Hayden,Chennai Super Kings,15000000,1.5,375000,9000000,0.9,225000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,5939,Michael Hussey,Chennai Super Kings,10000000,1,250000,10000000,1,250000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,49636,Muttiah Muralitharan,Chennai Super Kings,24000000,2.4,600000,10000000,1,250000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,32242,Parthiv Patel,Chennai Super Kings,13000000,1.3,325000,6000000,0.6,150000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,37000,Stephen Fleming,Chennai Super Kings,14000000,1.4,350000,14000000,1.4,350000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,33335,Suresh Raina,Chennai Super Kings,26000000,2.6,650000,5000000,0.5,125000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
2008,5390,Adam Gilchrist,Deccan Chargers,28000000,2.8,700000,12000000,1.2,300000,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,,FALSE
