player_id,player_name,birthdate,age,nationality,player_role,year,tournament,team,matches,innings,no,runs,highestscore,average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2025,IPL 2025,CSK,14,13,5,196,30*,24.50,145,135.17,0,0,12,12,6,5,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2024,IPL 2024,CSK,14,11,8,161,37*,53.66,73,220.54,0,0,14,13,10,0,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2023,IPL 2023,CSK,16,12,8,104,32*,26.00,57,182.45,0,0,3,10,7,3,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2022,IPL 2022,CSK,14,13,6,232,50*,33.14,188,123.40,0,1,21,10,9,0,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2021,IPL 2021,CSK,16,11,4,114,18*,16.28,107,106.54,0,0,12,3,13,0,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2020/21,IPL 2020/21,CSK,14,12,4,200,47*,25.00,172,116.27,0,0,16,7,15,1,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2019,IPL 2019,CSK,15,12,7,416,84*,83.20,309,134.62,0,3,22,23,11,5,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2018,IPL 2018,CSK,16,15,9,455,79*,75.83,302,150.66,0,3,24,30,11,3,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2017,IPL 2017,RPS,16,15,4,290,61*,26.36,250,115.99,0,1,15,16,10,3,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
28081,Mahendra Singh Dhoni,"July 07, 1981, Ranchi, Bihar (now Jharkhand)",44y 357d,India,Wicketkeeper Batter,2016,IPL 2016,RPS,14,12,5,284,64*,40.57,210,135.23,0,1,18,14,8,4,-,-,-,,,-,-,,,,"December 01, 2006","February 27, 2019","December 23, 2004","India
                              vs New Zealand at Manchester - July 09 - 10, 2019"
