player_id,player_name,birthdate,age,nationality,player_role,batting_style,bowling_style,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
778963,Abhinav Manohar,"September 16, 1994, Bangalore, Karnataka",31y 313d,India,Batting Allrounder,Right hand Bat,Legbreak Googly,-,2025,IPL 2025,SRH,8,5,0,61,43,12.20,61,100.00,0,0,2,4,7,0,-,-,-,-,-,-,-,-,-,-,,,,
778963,Abhinav Manohar,"September 16, 1994, Bangalore, Karnataka",31y 313d,India,Batting Allrounder,Right hand Bat,Legbreak Googly,-,2024,IPL 2024,GT,2,2,0,9,8,4.50,16,56.25,0,0,1,0,1,0,-,-,-,-,-,-,-,-,-,-,,,,
778963,Abhinav Manohar,"September 16, 1994, Bangalore, Karnataka",31y 313d,India,Batting Allrounder,Right hand Bat,Legbreak Googly,-,2023,IPL 2023,GT,9,6,0,114,42,19.00,83,137.34,0,0,6,7,4,0,-,-,-,-,-,-,-,-,-,-,,,,
778963,Abhinav Manohar,"September 16, 1994, Bangalore, Karnataka",31y 313d,India,Batting Allrounder,Right hand Bat,Legbreak Googly,-,2022,IPL 2022,GT,8,7,1,108,43,18.00,75,144.00,0,0,14,3,4,0,-,-,-,-,-,-,-,-,-,-,,,,
670031,Alzarri Shaheim Joseph,"November 20, 1996, Antigua",29y 248d,West Indies,Bowler,Right hand Bat,Right arm Fast,2016 - 2026,2024,IPL 2024,RCB,3,-,-,-,-,-,-,-,-,-,-,-,0,0,1,11.89,58,1/43,1/43,115.00,58.0,0,0,0,"July 29, 2022","July 28, 2025","October 02, 2016","July 21, 2026"
670031,Alzarri Shaheim Joseph,"November 20, 1996, Antigua",29y 248d,West Indies,Bowler,Right hand Bat,Right arm Fast,2016 - 2026,2023,IPL 2023,GT,7,2,2,7,7*,-,12,58.33,0,0,1,0,2,0,7,9.37,144,2/27,2/27,32.14,20.5,0,0,0,"July 29, 2022","July 28, 2025","October 02, 2016","July 21, 2026"
670031,Alzarri Shaheim Joseph,"November 20, 1996, Antigua",29y 248d,West Indies,Bowler,Right hand Bat,Right arm Fast,2016 - 2026,2022,IPL 2022,GT,9,3,2,5,4*,5.00,7,71.42,0,0,0,0,1,0,7,8.80,180,2/34,2/34,37.71,25.7,0,0,0,"July 29, 2022","July 28, 2025","October 02, 2016","July 21, 2026"
670031,Alzarri Shaheim Joseph,"November 20, 1996, Antigua",29y 248d,West Indies,Bowler,Right hand Bat,Right arm Fast,2016 - 2026,2019,IPL 2019,MI,3,2,2,15,15*,-,13,115.38,0,0,2,0,1,0,6,10.03,52,6/12,6/12,14.50,8.6,0,1,0,"July 29, 2022","July 28, 2025","October 02, 2016","July 21, 2026"
1244751,Mohd Arshad Khan,"December 20, 1997, Gopalganj (Seoni)",28y 218d,India,Bowler,Left hand Bat,Left arm Fast medium,-,2026,IPL 2026,GT,8,2,1,23,15,23.00,11,209.09,0,0,1,2,2,0,6,9.92,104,3/22,3/22,28.66,17.3,0,0,0,,,,
1244751,Mohd Arshad Khan,"December 20, 1997, Gopalganj (Seoni)",28y 218d,India,Bowler,Left hand Bat,Left arm Fast medium,-,2025,IPL 2025,GT,9,5,3,23,20,11.50,19,121.05,0,0,0,3,4,0,6,10.33,126,1/7,1/7,36.16,21.0,0,0,0,,,,
1244751,Mohd Arshad Khan,"December 20, 1997, Gopalganj (Seoni)",28y 218d,India,Bowler,Left hand Bat,Left arm Fast medium,-,2024,IPL 2024,LSG,4,4,2,83,58*,41.50,54,153.70,0,1,6,5,1,0,1,11.21,61,1/45,1/45,114.00,61.0,0,0,0,,,,
1244751,Mohd Arshad Khan,"December 20, 1997, Gopalganj (Seoni)",28y 218d,India,Bowler,Left hand Bat,Left arm Fast medium,-,2023,IPL 2023,MI,6,3,1,18,15*,9.00,15,120.00,0,0,0,1,2,0,5,13.41,85,3/39,3/39,38.00,17.0,0,0,0,,,,
1299879,Ashok Sharma,"June 17, 2002",24y 39d,India,Bowler,Right hand Bat,Right arm Fast,2026 - 2026,2026,IPL 2026,GT,6,2,2,1,1*,-,4,25.00,0,0,0,0,1,0,6,10.85,126,2/32,2/32,38.00,21.0,0,0,0,"July 23, 2026","J & K vs Rajasthan  at Srinagar - October 25 - 27, 2025",,
819429,Azmatullah Omarzai,"March 24, 2000",26y 124d,Afghanistan,Allrounder,Right hand Bat,Right arm Medium fast,2021 - 2026,2026,IPL 2026,PBKS,3,2,0,52,38,26.00,27,192.59,0,0,3,5,0,0,3,9.36,66,2/36,2/36,34.33,22.0,0,0,0,"March 03, 2022","February 19, 2026","January 21, 2021","June 20, 2026"
819429,Azmatullah Omarzai,"March 24, 2000",26y 124d,Afghanistan,Allrounder,Right hand Bat,Right arm Medium fast,2021 - 2026,2025,IPL 2025,PBKS,9,5,1,57,21*,14.25,41,139.02,0,0,6,3,1,0,8,10.33,162,2/33,2/33,34.87,20.2,0,0,0,"March 03, 2022","February 19, 2026","January 21, 2021","June 20, 2026"
819429,Azmatullah Omarzai,"March 24, 2000",26y 124d,Afghanistan,Allrounder,Right hand Bat,Right arm Medium fast,2021 - 2026,2024,IPL 2024,GT,7,4,0,42,17,10.50,33,127.27,0,0,2,2,0,0,4,8.85,126,2/27,2/27,46.50,31.5,0,0,0,"March 03, 2022","February 19, 2026","January 21, 2021","June 20, 2026"
917231,Belur Ravi Sharath,"September 28, 1996, Bangalore, Karnataka",29y 301d,India,Wicketkeeper Batter,Right hand Bat,,-,2024,IPL 2024,GT,1,1,0,2,2,2.00,5,40.00,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,,,,
1111917,Darshan Girish Nalkande,"October 04, 1998, Wardha, Maharashtra",27y 295d,India,Bowler,Right hand Bat,Right arm Fast medium,-,2024,IPL 2024,GT,3,1,0,12,12,12.00,11,109.09,0,0,0,1,2,0,3,9.31,29,2/21,2/21,15.00,9.6,0,0,0,,,,
1111917,Darshan Girish Nalkande,"October 04, 1998, Wardha, Maharashtra",27y 295d,India,Bowler,Right hand Bat,Right arm Fast medium,-,2023,IPL 2023,GT,1,1,0,0,0,0.00,1,0.00,0,0,0,0,0,0,1,11.00,24,1/44,1/44,44.00,24.0,0,0,0,,,,
1111917,Darshan Girish Nalkande,"October 04, 1998, Wardha, Maharashtra",27y 295d,India,Bowler,Right hand Bat,Right arm Fast medium,-,2022,IPL 2022,GT,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2,11.41,31,2/37,2/37,29.50,15.5,0,0,0,,,,
437316,Madagamagamage Dasun Shanaka,"September 09, 1991, Negombo",34y 320d,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium,2015 - 2026,2026,IPL 2026,RR,7,5,0,63,29,12.60,46,136.95,0,0,3,4,2,0,1,10.00,36,1/29,1/29,60.00,36.0,0,0,0,"August 01, 2015","June 14, 2026","June 16, 2016","January 08, 2024"
437316,Madagamagamage Dasun Shanaka,"September 09, 1991, Negombo",34y 320d,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium,2015 - 2026,2023,IPL 2023,GT,3,3,1,26,17,13.00,26,100.00,0,0,2,1,2,0,-,-,-,-,-,-,-,-,-,-,"August 01, 2015","June 14, 2026","June 16, 2016","January 08, 2024"
