player_id,player_name,birthdate,age,nationality,player_role,batting_style,bowling_style,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
26206,Balachandra Akhil,"October 07, 1977, Bangalore, Karnataka",48y 271d,India,Bowler,Right hand Bat,Right arm Medium fast,-,2011,IPL 2011,Kochi,1,1,0,13,13,13.00,9,144.44,0,0,0,1,0,0,0,11.00,12,-,-,-,-,0,0,0,,,,
26206,Balachandra Akhil,"October 07, 1977, Bangalore, Karnataka",48y 271d,India,Bowler,Right hand Bat,Right arm Medium fast,-,2009/10,IPL 2009/10,RCB,1,-,-,-,-,-,-,-,-,-,-,-,0,0,0,6.00,6,-,-,-,-,0,0,0,,,,
26206,Balachandra Akhil,"October 07, 1977, Bangalore, Karnataka",48y 271d,India,Bowler,Right hand Bat,Right arm Medium fast,-,2009,IPL 2009,RCB,6,3,1,17,9,8.50,15,113.33,0,0,1,1,0,0,4,7.27,66,2/18,2/18,20.00,16.5,0,0,0,,,,
26206,Balachandra Akhil,"October 07, 1977, Bangalore, Karnataka",48y 271d,India,Bowler,Right hand Bat,Right arm Medium fast,-,2007/08,IPL 2007/08,RCB,7,7,4,46,27*,15.33,31,148.38,0,0,4,3,3,0,2,7.73,104,2/17,2/17,67.00,52.0,0,0,0,,,,
5674,Bradley John Hodge,"December 29, 1974, Sandringham, Victoria",51y 188d,Australia,Top order Batter,Right hand Bat,Right arm Offbreak,2005 - 2014,2014,IPL 2014,RR,4,4,1,101,40,33.66,72,140.27,0,0,4,6,2,0,-,-,-,-,-,-,-,-,-,-,"September 12, 2007","March 30, 2014","December 03, 2005","October 17, 2007"
5674,Bradley John Hodge,"December 29, 1974, Sandringham, Victoria",51y 188d,Australia,Top order Batter,Right hand Bat,Right arm Offbreak,2005 - 2014,2013,IPL 2013,RR,17,14,7,293,54*,41.85,218,134.40,0,1,27,9,6,0,0,3.00,6,-,-,-,-,0,0,0,"September 12, 2007","March 30, 2014","December 03, 2005","October 17, 2007"
5674,Bradley John Hodge,"December 29, 1974, Sandringham, Victoria",51y 188d,Australia,Top order Batter,Right hand Bat,Right arm Offbreak,2005 - 2014,2012,IPL 2012,RR,12,12,4,245,48*,30.62,175,140.00,0,0,18,9,7,0,1,10.50,12,1/13,1/13,21.00,12.0,0,0,0,"September 12, 2007","March 30, 2014","December 03, 2005","October 17, 2007"
5674,Bradley John Hodge,"December 29, 1974, Sandringham, Victoria",51y 188d,Australia,Top order Batter,Right hand Bat,Right arm Offbreak,2005 - 2014,2011,IPL 2011,Kochi,14,14,6,285,51*,35.62,236,120.76,0,1,26,9,1,0,7,7.00,66,4/13,4/13,11.00,9.4,1,0,0,"September 12, 2007","March 30, 2014","December 03, 2005","October 17, 2007"
5674,Bradley John Hodge,"December 29, 1974, Sandringham, Victoria",51y 188d,Australia,Top order Batter,Right hand Bat,Right arm Offbreak,2005 - 2014,2009/10,IPL 2009/10,KKR,4,4,0,99,50,24.75,90,110.00,0,1,11,1,3,0,2,8.20,30,1/4,1/4,20.50,15.0,0,0,0,"September 12, 2007","March 30, 2014","December 03, 2005","October 17, 2007"
5674,Bradley John Hodge,"December 29, 1974, Sandringham, Victoria",51y 188d,Australia,Top order Batter,Right hand Bat,Right arm Offbreak,2005 - 2014,2009,IPL 2009,KKR,12,12,3,365,73,40.55,310,117.74,0,3,34,9,2,0,7,8.05,120,3/29,3/29,23.00,17.1,0,0,0,"September 12, 2007","March 30, 2014","December 03, 2005","October 17, 2007"
