player_id,player_name,birthdate,age,nationality,player_role,batting_style,bowling_style,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2022,IPL 2022,KKR,5,5,0,86,58,17.20,61,140.98,0,1,10,3,1,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2020/21,IPL 2020/21,RCB,12,12,0,268,52,22.33,241,111.20,0,1,28,8,3,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2018,IPL 2018,PBKS,10,9,1,134,46,16.75,100,134.00,0,0,6,8,4,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2017,IPL 2017,GL,13,13,1,299,72,24.91,180,166.11,0,2,25,19,5,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2016,IPL 2016,GL,13,12,2,393,74,39.30,299,131.43,0,5,45,11,3,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2015,IPL 2015,MI,3,3,1,23,10*,11.50,33,69.69,0,0,4,0,0,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2014,IPL 2014,SRH,13,13,2,309,88*,28.09,263,117.49,0,2,31,9,6,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2013,IPL 2013,PWI,14,14,0,456,67,32.57,336,135.71,0,4,54,16,2,0,1,12.25,24,1/11,1/11,49.00,24.0,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2012,IPL 2012,DC,2,2,0,55,30,27.50,51,107.84,0,0,8,0,0,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2011,IPL 2011,DC,6,6,0,47,25,7.83,46,102.17,0,0,3,3,4,0,0,6.50,12,-,-,-,-,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 230d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2009/10,IPL 2009/10,RR,1,1,0,21,21,21.00,21,100.00,0,0,0,1,0,0,0,4.28,7,-,-,-,-,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 270d,India,Allrounder,Left hand Bat,Right arm Medium,2009 - 2009,2014,IPL 2014,RR,5,4,1,43,23,14.33,47,91.48,0,0,5,1,1,0,-,-,-,-,-,-,-,-,-,-,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 270d,India,Allrounder,Left hand Bat,Right arm Medium,2009 - 2009,2013,IPL 2013,PWI,11,9,3,66,25*,11.00,73,90.41,0,0,5,0,1,0,2,7.37,48,1/15,1/15,29.50,24.0,0,0,0,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 270d,India,Allrounder,Left hand Bat,Right arm Medium,2009 - 2009,2012,IPL 2012,PBKS,4,4,1,45,24,15.00,49,91.83,0,0,2,1,0,0,0,16.00,6,-,-,-,-,0,0,0,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 270d,India,Allrounder,Left hand Bat,Right arm Medium,2009 - 2009,2011,IPL 2011,PBKS,10,9,2,61,17*,8.71,67,91.04,0,0,9,0,2,0,2,9.34,61,1/22,1/22,47.50,30.5,0,0,0,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 270d,India,Allrounder,Left hand Bat,Right arm Medium,2009 - 2009,2009/10,IPL 2009/10,MI,3,3,1,58,27,29.00,51,113.72,0,0,4,2,1,0,-,-,-,-,-,-,-,-,-,-,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 270d,India,Allrounder,Left hand Bat,Right arm Medium,2009 - 2009,2009,IPL 2009,MI,13,11,2,193,35,21.44,152,126.97,0,0,14,7,4,0,4,7.00,72,3/13,3/13,21.00,18.0,0,0,0,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 270d,India,Allrounder,Left hand Bat,Right arm Medium,2009 - 2009,2007/08,IPL 2007/08,MI,14,10,2,206,45*,25.75,138,149.27,0,0,16,9,4,0,1,9.71,42,1/18,1/18,68.00,42.0,0,0,0,,,"July 03, 2009","September 30, 2009"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 233d,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,1996 - 2008,2013,IPL 2013,PBKS,13,13,1,294,85*,24.50,229,128.38,0,1,41,6,12,0,1,0.00,1,1/0,1/0,0.00,1.0,0,0,0,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 233d,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,1996 - 2008,2012,IPL 2012,PBKS,7,7,2,172,64*,34.40,143,120.27,0,1,21,4,5,0,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 233d,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,1996 - 2008,2011,IPL 2011,PBKS,14,14,0,383,106,27.35,295,129.83,1,2,41,18,9,3,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 233d,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,1996 - 2008,2009/10,IPL 2009/10,DCH,16,16,0,289,54,18.06,185,156.21,0,1,31,16,9,4,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 233d,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,1996 - 2008,2009,IPL 2009,DCH,16,16,0,495,85,30.93,325,152.30,0,3,54,29,10,8,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 233d,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,1996 - 2008,2007/08,IPL 2007/08,DCH,14,14,1,436,109*,33.53,318,137.10,1,3,51,19,6,1,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
244497,Adil Usman Rashid,"February 17, 1988, Bradford, Yorkshire",38y 138d,England,Bowler,Right hand Bat,Legbreak,2009 - 2026,2023,IPL 2023,SRH,2,2,0,22,18,11.00,16,137.50,0,0,2,1,0,0,2,8.00,42,2/23,2/23,28.00,21.0,0,0,0,"June 05, 2009","July 04, 2026","August 27, 2009","January 27, 2026"
244497,Adil Usman Rashid,"February 17, 1988, Bradford, Yorkshire",38y 138d,England,Bowler,Right hand Bat,Legbreak,2009 - 2026,2021,IPL 2021,PBKS,1,-,-,-,-,-,-,-,-,-,-,-,0,0,0,11.66,18,-,-,-,-,0,0,0,"June 05, 2009","July 04, 2026","August 27, 2009","January 27, 2026"
274926,Adrian Boris Barath,"April 14, 1990, Chaguanas, Trinidad",36y 82d,West Indies,Opening Batter,Right hand Bat,Right arm Offbreak,2009 - 2012,2009/10,IPL 2009/10,PBKS,3,3,1,42,33,21.00,42,100.00,0,0,5,1,0,0,-,-,-,-,-,-,-,-,-,-,"February 28, 2010","October 11, 2011","March 04, 2010","March 25, 2012"
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,Right hand Bat,Right arm Offbreak,2017 - 2026,2026,IPL 2026,LSG,12,11,2,231,45,25.66,167,138.32,0,0,20,11,8,0,0,13.83,36,-,-,-,-,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,Right hand Bat,Right arm Offbreak,2017 - 2026,2025,IPL 2025,LSG,13,13,0,445,66,34.23,299,148.82,0,5,38,22,7,0,4,9.27,66,2/30,2/30,25.50,16.5,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,Right hand Bat,Right arm Offbreak,2017 - 2026,2024,IPL 2024,SRH,11,11,2,220,50,24.44,177,124.29,0,1,18,4,5,0,0,7.50,12,-,-,-,-,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,Right hand Bat,Right arm Offbreak,2017 - 2026,2023,IPL 2023,SRH,13,13,2,248,50,22.54,197,125.88,0,1,18,8,11,0,1,8.57,49,1/24,1/24,70.00,49.0,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,Right hand Bat,Right arm Offbreak,2017 - 2026,2022,IPL 2022,SRH,14,12,4,381,68*,47.62,274,139.05,0,3,25,19,6,0,1,10.66,36,1/8,1/8,64.00,36.0,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,Right hand Bat,Right arm Offbreak,2017 - 2026,2021,IPL 2021,PBKS,6,6,1,146,42,29.20,119,122.68,0,0,12,4,3,0,0,5.75,24,-,-,-,-,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
500360,Akshdeep Deependra Nath,"May 10, 1993, Lucknow",33y 56d,United Arab Emirates,Middle order Batter,Right hand Bat,Right arm Medium fast,2026 - 2026,2019,IPL 2019,RCB,8,5,0,61,24,12.20,57,107.01,0,0,5,2,1,0,-,-,-,-,-,-,-,-,-,-,"April 20, 2026","April 21, 2026","April 25, 2026","May 03, 2026"
500360,Akshdeep Deependra Nath,"May 10, 1993, Lucknow",33y 56d,United Arab Emirates,Middle order Batter,Right hand Bat,Right arm Medium fast,2026 - 2026,2018,IPL 2018,PBKS,1,1,0,9,9,9.00,13,69.23,0,0,1,0,1,0,-,-,-,-,-,-,-,-,-,-,"April 20, 2026","April 21, 2026","April 25, 2026","May 03, 2026"
500360,Akshdeep Deependra Nath,"May 10, 1993, Lucknow",33y 56d,United Arab Emirates,Middle order Batter,Right hand Bat,Right arm Medium fast,2026 - 2026,2017,IPL 2017,GL,1,1,0,0,0,0.00,1,0.00,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,"April 20, 2026","April 21, 2026","April 25, 2026","May 03, 2026"
500360,Akshdeep Deependra Nath,"May 10, 1993, Lucknow",33y 56d,United Arab Emirates,Middle order Batter,Right hand Bat,Right arm Medium fast,2026 - 2026,2016,IPL 2016,GL,4,3,0,20,12,6.66,27,74.07,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,"April 20, 2026","April 21, 2026","April 25, 2026","May 03, 2026"
459508,Andrew James Tye,"December 12, 1986, Perth, Western Australia",39y 205d,Australia,Bowler,Right hand Bat,Right arm Medium fast,2016 - 2021,2022,IPL 2022,LSG,3,-,-,-,-,-,-,-,-,-,-,-,1,0,2,9.72,66,2/40,2/40,53.50,33.0,0,0,0,"January 29, 2016","August 07, 2021","January 14, 2018","June 19, 2018"
459508,Andrew James Tye,"December 12, 1986, Perth, Western Australia",39y 205d,Australia,Bowler,Right hand Bat,Right arm Medium fast,2016 - 2021,2020/21,IPL 2020/21,RR,1,1,0,6,6,6.00,6,100.00,0,0,0,1,0,0,1,12.50,24,1/50,1/50,50.00,24.0,0,0,0,"January 29, 2016","August 07, 2021","January 14, 2018","June 19, 2018"
459508,Andrew James Tye,"December 12, 1986, Perth, Western Australia",39y 205d,Australia,Bowler,Right hand Bat,Right arm Medium fast,2016 - 2021,2019,IPL 2019,PBKS,6,1,1,0,0*,-,2,0.00,0,0,0,0,2,0,3,10.59,132,1/37,1/37,77.66,44.0,0,0,0,"January 29, 2016","August 07, 2021","January 14, 2018","June 19, 2018"
459508,Andrew James Tye,"December 12, 1986, Perth, Western Australia",39y 205d,Australia,Bowler,Right hand Bat,Right arm Medium fast,2016 - 2021,2018,IPL 2018,PBKS,14,8,2,32,14,5.33,38,84.21,0,0,2,1,5,0,24,8.00,336,4/16,4/16,18.66,14.0,3,0,0,"January 29, 2016","August 07, 2021","January 14, 2018","June 19, 2018"
459508,Andrew James Tye,"December 12, 1986, Perth, Western Australia",39y 205d,Australia,Bowler,Right hand Bat,Right arm Medium fast,2016 - 2021,2017,IPL 2017,GL,6,3,1,53,25,26.50,30,176.66,0,0,4,3,0,0,12,6.71,126,5/17,5/17,11.75,10.5,0,1,0,"January 29, 2016","August 07, 2021","January 14, 2018","June 19, 2018"
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,Right hand Bat,Right arm Medium,-,2020/21,IPL 2020/21,RR,6,2,1,9,7*,9.00,10,90.00,0,0,0,1,0,0,2,11.70,102,1/39,1/39,99.50,51.0,0,0,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,Right hand Bat,Right arm Medium,-,2019,IPL 2019,PBKS,4,-,-,-,-,-,-,-,-,-,-,-,1,0,3,9.50,96,2/33,2/33,50.66,32.0,0,0,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,Right hand Bat,Right arm Medium,-,2018,IPL 2018,PBKS,8,3,0,11,8,3.66,18,61.11,0,0,1,0,2,0,11,8.52,157,5/14,5/14,20.27,14.2,0,1,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,Right hand Bat,Right arm Medium,-,2017,IPL 2017,KKR,5,1,0,4,4,4.00,7,57.14,0,0,1,0,1,0,4,7.64,84,3/37,3/37,26.75,21.0,0,0,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,Right hand Bat,Right arm Medium,-,2016,IPL 2016,KKR,4,-,-,-,-,-,-,-,-,-,-,-,0,0,3,8.90,66,1/14,1/14,32.66,22.0,0,0,0,,,,
591650,Ankit Singh Rajpoot,"December 04, 1993, Kanpur",32y 213d,India,Bowler,Right hand Bat,Right arm Medium,-,2013,IPL 2013,CSK,2,1,1,2,2*,-,6,33.33,0,0,0,0,0,0,1,8.75,24,1/25,1/25,35.00,24.0,0,0,0,,,,
376324,Kathuria Anureet Singh,"March 02, 1988, Delhi",38y 125d,India,Bowler,Right hand Bat,Right arm Medium,-,2018,IPL 2018,RR,3,1,1,3,3*,-,4,75.00,0,0,0,0,1,0,1,10.50,24,1/20,1/20,42.00,24.0,0,0,0,,,,
376324,Kathuria Anureet Singh,"March 02, 1988, Delhi",38y 125d,India,Bowler,Right hand Bat,Right arm Medium,-,2017,IPL 2017,PBKS,1,1,0,15,15,15.00,12,125.00,0,0,2,0,0,0,0,13.00,12,-,-,-,-,0,0,0,,,,
