player_id,player_name,birthdate,age,nationality,player_role,batting_style,bowling_style,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2022,IPL 2022,KKR,5,5,0,86,58,17.20,61,140.98,0,1,10,3,1,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2020/21,IPL 2020/21,RCB,12,12,0,268,52,22.33,241,111.20,0,1,28,8,3,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2018,IPL 2018,PBKS,10,9,1,134,46,16.75,100,134.00,0,0,6,8,4,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2017,IPL 2017,GL,13,13,1,299,72,24.91,180,166.11,0,2,25,19,5,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2016,IPL 2016,GL,13,12,2,393,74,39.30,299,131.43,0,5,45,11,3,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2015,IPL 2015,MI,3,3,1,23,10*,11.50,33,69.69,0,0,4,0,0,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2014,IPL 2014,SRH,13,13,2,309,88*,28.09,263,117.49,0,2,31,9,6,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2013,IPL 2013,PWI,14,14,0,456,67,32.57,336,135.71,0,4,54,16,2,0,1,12.25,24,1/11,1/11,49.00,24.0,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2012,IPL 2012,DC,2,2,0,55,30,27.50,51,107.84,0,0,8,0,0,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2011,IPL 2011,DC,6,6,0,47,25,7.83,46,102.17,0,0,3,3,4,0,0,6.50,12,-,-,-,-,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,Right hand Bat,Slow Left arm Orthodox,2011 - 2022,2009/10,IPL 2009/10,RR,1,1,0,21,21,21.00,21,100.00,0,0,0,1,0,0,0,4.28,7,-,-,-,-,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
44936,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",42y 140d,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,2021,IPL 2021,RCB,15,14,4,313,76*,31.30,211,148.34,0,2,23,16,15,0,-,-,-,-,-,-,-,-,-,-,"February 24, 2006","October 29, 2017","February 02, 2005","February 16, 2018"
44936,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",42y 140d,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,2020/21,IPL 2020/21,RCB,15,14,4,454,73*,45.40,286,158.74,0,5,33,23,10,1,-,-,-,-,-,-,-,-,-,-,"February 24, 2006","October 29, 2017","February 02, 2005","February 16, 2018"
44936,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",42y 140d,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,2019,IPL 2019,RCB,13,13,3,442,82*,44.20,287,154.00,0,5,31,26,6,0,-,-,-,-,-,-,-,-,-,-,"February 24, 2006","October 29, 2017","February 02, 2005","February 16, 2018"
44936,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",42y 140d,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,2018,IPL 2018,RCB,12,11,2,480,90*,53.33,275,174.54,0,6,39,30,6,0,-,-,-,-,-,-,-,-,-,-,"February 24, 2006","October 29, 2017","February 02, 2005","February 16, 2018"
44936,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",42y 140d,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,2017,IPL 2017,RCB,9,9,1,216,89*,27.00,163,132.51,0,1,12,16,6,0,-,-,-,-,-,-,-,-,-,-,"February 24, 2006","October 29, 2017","February 02, 2005","February 16, 2018"
44936,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",42y 140d,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,2016,IPL 2016,RCB,16,16,3,687,129*,52.84,407,168.79,1,6,57,37,19,0,-,-,-,-,-,-,-,-,-,-,"February 24, 2006","October 29, 2017","February 02, 2005","February 16, 2018"
44936,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",42y 140d,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,2015,IPL 2015,RCB,16,14,3,513,133*,46.63,293,175.08,1,2,60,22,8,0,-,-,-,-,-,-,-,-,-,-,"February 24, 2006","October 29, 2017","February 02, 2005","February 16, 2018"
44936,Abraham Benjamin de Villiers,"February 17, 1984, Pretoria",42y 140d,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,2014,IPL 2014,RCB,14,13,2,395,89*,35.90,249,158.63,0,3,26,24,7,0,-,-,-,-,-,-,-,-,-,-,"February 24, 2006","October 29, 2017","February 02, 2005","February 16, 2018"
