player_id,player_name,birthdate,age,nationality,player_role,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 96d,Australia,Bowler,2016 - 2026,2025,IPL 2025,SRH,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2,11.75,48,1/46,1/46,47.00,24.0,0,0,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 96d,Australia,Bowler,2016 - 2026,2023,IPL 2023,RR,6,3,0,10,7,3.33,16,62.50,0,0,0,0,0,0,8,8.54,132,3/22,3/22,23.50,16.5,0,0,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 96d,Australia,Bowler,2016 - 2026,2020/21,IPL 2020/21,RCB,3,-,-,-,-,-,-,-,-,-,-,-,1,0,2,8.36,66,1/12,1/12,46.00,33.0,0,0,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 96d,Australia,Bowler,2016 - 2026,2017,IPL 2017,RPS,6,1,0,5,5,5.00,7,71.42,0,0,1,0,0,0,7,8.21,119,2/22,2/22,23.28,17.0,0,0,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 96d,Australia,Bowler,2016 - 2026,2016,IPL 2016,RPS,5,1,0,0,0,0.00,1,0.00,0,0,0,0,0,0,12,6.76,102,6/19,6/19,9.58,8.5,0,1,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2026,IPL 2026,KKR,14,14,1,335,67,25.76,248,135.08,0,2,25,18,8,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2025,IPL 2025,KKR,13,12,1,390,61,35.45,264,147.72,0,3,36,20,5,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2024,IPL 2024,CSK,13,12,0,242,45,20.16,196,123.46,0,0,23,7,1,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2023,IPL 2023,CSK,14,11,1,326,71*,32.60,189,172.48,0,2,24,16,8,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2022,IPL 2022,KKR,7,7,0,133,44,19.00,128,103.90,0,0,14,4,3,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2021,IPL 2021,DC,2,1,0,8,8,8.00,8,100.00,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2020/21,IPL 2020/21,DC,9,8,0,113,60,14.12,107,105.60,0,1,12,2,4,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2019,IPL 2019,RR,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,5,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2018,IPL 2018,RR,15,14,1,370,65*,28.46,313,118.21,0,1,39,5,4,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 29d,India,Top order Batter,2011 - 2023,2017,IPL 2017,RPS,16,16,1,382,60,25.46,323,118.26,0,2,35,9,6,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
