player_id,player_name,birthdate,age,nationality,player_role,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
302582,Abhinav Mukund,"January 06, 1990, Madras (now Chennai), Tamil Nadu",36y 174d,India,Top order Batter,2011 - 2017,2013,IPL 2013,RCB,1,1,0,19,19,19.00,21,90.47,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,,,,
302582,Abhinav Mukund,"January 06, 1990, Madras (now Chennai), Tamil Nadu",36y 174d,India,Top order Batter,2011 - 2017,2007/08,IPL 2007/08,CSK,2,1,0,0,0,0.00,1,0.00,0,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,,,,
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 77d,New Zealand,Bowler,2010 - 2025,2026,IPL 2026,RR,1,1,1,2,2*,-,2,100.00,0,0,0,0,0,0,0,12.30,20,-,-,-,-,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 77d,New Zealand,Bowler,2010 - 2025,2022,IPL 2022,CSK,1,-,-,-,-,-,-,-,-,-,-,-,0,0,0,7.60,15,-,-,-,-,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 77d,New Zealand,Bowler,2010 - 2025,2021,IPL 2021,MI,4,3,1,16,15,8.00,17,94.11,0,0,0,1,2,0,3,9.35,84,2/21,2/21,43.66,28.0,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 77d,New Zealand,Bowler,2010 - 2025,2017,IPL 2017,RCB,4,3,1,7,5,3.50,12,58.33,0,0,0,0,4,0,3,9.57,84,2/27,2/27,44.66,28.0,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 77d,New Zealand,Bowler,2010 - 2025,2016,IPL 2016,RCB,1,-,-,-,-,-,-,-,-,-,-,-,1,0,1,10.75,24,1/43,1/43,43.00,24.0,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2026,IPL 2026,KKR,14,14,1,335,67,25.76,248,135.08,0,2,25,18,8,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2025,IPL 2025,KKR,13,12,1,390,61,35.45,264,147.72,0,3,36,20,5,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2024,IPL 2024,CSK,13,12,0,242,45,20.16,196,123.46,0,0,23,7,1,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2023,IPL 2023,CSK,14,11,1,326,71*,32.60,189,172.48,0,2,24,16,8,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2022,IPL 2022,KKR,7,7,0,133,44,19.00,128,103.90,0,0,14,4,3,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2021,IPL 2021,DC,2,1,0,8,8,8.00,8,100.00,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2020/21,IPL 2020/21,DC,9,8,0,113,60,14.12,107,105.60,0,1,12,2,4,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2019,IPL 2019,RR,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,5,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2018,IPL 2018,RR,15,14,1,370,65*,28.46,313,118.21,0,1,39,5,4,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2017,IPL 2017,RPS,16,16,1,382,60,25.46,323,118.26,0,2,35,9,6,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2016,IPL 2016,RPS,14,14,3,480,74,43.63,379,126.64,0,6,54,9,7,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2015,IPL 2015,RR,14,13,2,540,91*,49.09,413,130.75,0,4,53,13,3,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2014,IPL 2014,RR,13,12,0,339,72,28.25,291,116.49,0,3,38,3,6,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2013,IPL 2013,RR,18,18,4,488,68*,34.85,458,106.55,0,4,42,11,10,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2012,IPL 2012,RR,16,16,2,560,103*,40.00,433,129.33,1,3,73,10,11,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2011,IPL 2011,RR,10,7,1,120,52,20.00,98,122.44,0,1,12,2,1,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2009,IPL 2009,MI,8,7,1,144,62*,24.00,123,117.07,0,2,12,3,1,0,1,5.00,6,1/5,1/5,5.00,6.0,0,0,0,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 23d,India,Top order Batter,2011 - 2023,2007/08,IPL 2007/08,MI,2,2,0,4,4,2.00,17,23.52,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
530812,Akeal Jerome Hosein,"April 25, 1993, Port-of-Spain",33y 65d,West Indies,Bowler,2021 - 2026,2026,IPL 2026,CSK,7,3,3,5,3*,-,3,166.66,0,0,0,0,2,0,8,8.02,148,4/17,4/17,24.75,18.5,1,0,0,"July 03, 2021","June 14, 2026","January 20, 2021","October 23, 2025"
530812,Akeal Jerome Hosein,"April 25, 1993, Port-of-Spain",33y 65d,West Indies,Bowler,2021 - 2026,2023,IPL 2023,SRH,1,1,1,16,16*,-,10,160.00,0,0,1,1,0,0,1,10.00,24,1/40,1/40,40.00,24.0,0,0,0,"July 03, 2021","June 14, 2026","January 20, 2021","October 23, 2025"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2016,IPL 2016,RPS,2,1,0,16,16,16.00,9,177.77,0,0,0,2,1,0,2,13.20,30,2/36,2/36,33.00,15.0,0,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2015,IPL 2015,DC,4,3,2,86,73*,86.00,65,132.30,0,1,9,2,1,0,3,9.08,72,2/21,2/21,36.33,24.0,0,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2014,IPL 2014,RCB,7,5,2,45,16,15.00,41,109.75,0,0,1,3,2,0,4,7.87,96,1/18,1/18,31.50,24.0,0,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2013,IPL 2013,CSK,8,3,0,46,23,15.33,37,124.32,0,0,2,3,2,0,7,6.62,144,3/32,3/32,22.71,20.5,0,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2012,IPL 2012,CSK,16,12,5,107,28,15.28,68,157.35,0,0,5,6,2,0,13,7.77,297,3/29,3/29,29.61,22.8,0,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2011,IPL 2011,CSK,15,13,7,138,30*,23.00,102,135.29,0,0,8,8,4,0,15,8.48,270,3/29,3/29,25.46,18.0,0,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2009/10,IPL 2009/10,CSK,14,11,3,198,62,24.75,131,151.14,0,1,10,13,3,0,11,8.49,286,2/23,2/23,36.81,26.0,0,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2009,IPL 2009,CSK,12,10,6,97,21*,24.25,70,138.57,0,0,8,4,1,0,13,8.10,240,2/13,2/13,24.92,18.4,0,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
46248,Johannes Albertus Morkel,"June 10, 1981, Vereeniging, Transvaal",45y 19d,South Africa,Bowling Allrounder,2004 - 2015,2007/08,IPL 2007/08,CSK,13,10,3,241,71,34.42,163,147.85,0,1,18,14,3,0,17,8.31,288,4/32,4/32,23.47,16.9,1,0,0,"October 21, 2005","October 05, 2015","February 20, 2004","March 03, 2012"
33141,Ambati Thirupathi Rayudu,"September 23, 1985, Guntur, Andhra Pradesh",40y 279d,India,Middle order Batter,2013 - 2019,2023,IPL 2023,CSK,16,12,2,158,27*,15.80,113,139.82,0,0,10,9,2,0,-,-,-,-,-,-,-,-,-,-,"September 07, 2014","June 22, 2016","July 24, 2013","March 08, 2019"
