team,purse_spent,purse_left,players_bought,overseas_buys,player_id,player_name,player_fullname,birthdate,type,base_price,sold_price,sold_price_cr,status,transferred,overseas
Chennai Super Kings,1226000000,24000000,25/25,8/8,1060380,RD Gaikwad,Ruturaj Gaikwad,1997-01-31,BATTER,0,180000000,18.0,Retained,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,425943,SV Samson,Sanju Samson,1994-11-11,BATTER,0,180000000,18.0,Retained,True,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,1459392,Kartik Sharma,Kartik Sharma,2006-04-26,BATTER,3000000,142000000,14.2,New,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,1403197,PR Veer,Prashant Veer,2005-11-24,ALL_ROUNDER,3000000,142000000,14.2,New,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,714451,S Dube,Shivam Dube,1993-06-26,ALL_ROUNDER,0,120000000,12.0,Retained,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,1182529,Noor Ahmad,Noor Ahmad,2005-01-03,BOWLER,0,100000000,10.0,Retained,False,True
Chennai Super Kings,1226000000,24000000,25/25,8/8,1064812,RD Chahar,Rahul Chahar,1999-08-04,BOWLER,10000000,52000000,5.2,New,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,942645,KK Ahmed,Khaleel Ahmed,1997-12-05,BOWLER,0,48000000,4.8,Retained,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,28081,MS Dhoni,MS Dhoni,1981-07-07,BATTER,0,40000000,4.0,Retained,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,1175428,A Kamboj,Anshul Kamboj,2000-12-06,ALL_ROUNDER,0,34000000,3.4,Retained,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,1269869,Gurjapneet Singh,Gurjapneet Singh,1998-11-08,BOWLER,0,22000000,2.2,Retained,False,False
Chennai Super Kings,1226000000,24000000,25/25,8/8,1070665,D Brevis,Dewald Brevis,2003-04-29,BATTER,0,22000000,2.2,Retained,False,True
Chennai Super Kings,1226000000,24000000,25/25,8/8,826915,NT Ellis,Nathan Ellis,1994-09-22,BOWLER,0,20000000,2.0,Retained,False,True
