player_id,player_name,birthdate,age,nationality,player_role,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
1175485,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",24y 250d,India,Batter,-,2026,IPL 2026,LSG,8,8,2,116,37*,19.33,88,131.81,0,0,10,5,2,0,0,36.00,1,-,-,-,-,0,0,0,,,,
1175485,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",24y 250d,India,Batter,-,2025,IPL 2025,LSG,13,12,4,164,45,20.50,93,176.34,0,0,8,14,4,0,0,18.00,2,-,-,-,-,0,0,0,,,,
1175485,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",24y 250d,India,Batter,-,2024,IPL 2024,SRH,16,12,2,182,37*,18.20,108,168.51,0,0,15,11,9,0,-,-,-,-,-,-,-,-,-,-,,,,
1175485,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",24y 250d,India,Batter,-,2023,IPL 2023,SRH,9,8,4,169,37*,42.25,128,132.03,0,0,10,11,4,0,-,-,-,-,-,-,-,-,-,-,,,,
1175485,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",24y 250d,India,Batter,-,2022,IPL 2022,SRH,2,2,0,4,4,2.00,7,57.14,0,0,0,0,1,0,0,8.00,6,-,-,-,-,0,0,0,,,,
1175485,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",24y 250d,India,Batter,-,2021,IPL 2021,SRH,11,10,1,111,28,12.33,87,127.58,0,0,4,8,8,0,1,9.00,6,1/9,1/9,9.00,6.0,0,0,0,,,,
1175485,Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",24y 250d,India,Batter,-,2020/21,IPL 2020/21,SRH,12,8,3,111,33,22.20,65,170.76,0,0,8,6,5,0,1,13.71,42,1/41,1/41,96.00,42.0,0,0,0,,,,
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,2017 - 2026,2026,IPL 2026,LSG,12,11,2,231,45,25.66,167,138.32,0,0,20,11,8,0,0,13.83,36,-,-,-,-,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,2017 - 2026,2025,IPL 2025,LSG,13,13,0,445,66,34.23,299,148.82,0,5,38,22,7,0,4,9.27,66,2/30,2/30,25.50,16.5,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
600498,Aiden Kyle Markram,"October 04, 1994, Centurion",31y 274d,South Africa,Middle order Batter,2017 - 2026,2024,IPL 2024,SRH,11,11,2,220,50,24.44,177,124.29,0,1,18,4,5,0,0,7.50,12,-,-,-,-,0,0,0,"March 22, 2019","March 04, 2026","October 22, 2017","December 06, 2025"
