No.,Category,Name,Nationality,Speciality,Base Price(in US$ thousands),Team,Auctioned Price(in US$ thousands)
1,A,Shane Warne,Australia,Bowler,450,Rajasthan Royals,450.0
2,A,Mahendra Singh Dhoni,India,Wicketkeeper,400,Chennai Super Kings,1500.0
3,A,Adam Gilchrist,Australia,Wicket keeper,300,Deccan Chargers,700.0
4,A,Shoaib Akhtar,Pakistan,Bowler,250,Kolkata Knight Riders,425.0
5,A,Mahela Jayawardene,Sri Lanka,Batsman,250,Kings XI Punjab,475.0
6,A,Muttiah Muralitharan,Sri Lanka,Bowler,250,Chennai Super Kings,600.0
7,B,Anil Kumble,India,Bowler,250,Royal Challengers Bangalore,500.0
8,B,Glenn McGrath[REC],Australia,Bowler,350,Delhi Daredevils,350.0
9,B,Mohammed Yousuf[REC],Pakistan,Batsman,350,Unsold,
10,B,Harbhajan Singh,India,Bowler,250,Mumbai Indians,850.0
11,B,Sanath Jayasuriya,Sri Lanka,Allrounder,250,Mumbai Indians,975.0
12,B,Kumar Sangakkara,Sri Lanka,Wicketkeeper-batsman,250,Kings XI Punjab,700.0
13,C,Ricky Ponting,Australia,Batsman,335,Kolkata Knight Riders,400.0
14,C,Brett Lee,Australia,Bowler,300,Kings XI Punjab,900.0
15,C,Andrew Symonds,Australia,Allrounder,250,Deccan Chargers,1350.0
16,C,Michael Hussey[REC],Australia,Batsman,250,Chennai Super Kings,250.0
17,C,Daniel Vettori,New Zealand,Bowler,250,Delhi Daredevils,625.0
18,C,Matthew Hayden,Australia,Batsman,225,Chennai Super Kings,375.0
19,C,Brendon McCullum,New Zealand,Wicketkeeper,175,Kolkata Knight Riders,700.0
20,C,Jacob Oram,New Zealand,Allrounder,200,Chennai Super Kings,675.0
21,D,Stephen Fleming,New Zealand,Batsman,350,Chennai Super Kings,350.0
22,D,Graeme Smith,South Africa,Batsman,250,Rajasthan Royals,250.0
23,D,Herschelle Gibbs,South Africa,Batsman,250,Deccan Chargers,575.0
24,D,Chris Gayle,West Indies,Allrounder,250,Kolkata Knight Riders,800.0
25,D,Shoaib Malik,Pakistan,Allrounder,300,Delhi Daredevils,500.0
26,D,Shahid Afridi,Pakistan,Allrounder,225,Deccan Chargers,675.0
27,D,Younis Khan,Pakistan,Batsman,225,Rajasthan Royals,225.0
28,D,Mohammad Asif,Pakistan,Bowler,225,Delhi Daredevils,650.0
29,D,Jacques Kallis,South Africa,Allrounder,225,Royal Challengers Bangalore,900.0
30,D,Zaheer Khan,India,Bowler,200,Royal Challengers Bangalore,450.0
31,D,Sreesanth,India,Bowler,200,Kings XI Punjab,625.0
32,E,Dinesh Karthik,India,Wicketkeeper,200,Delhi Daredevils,525.0
33,E,AB de Villiers,South Africa,Wicketkeeper,200,Delhi Daredevils,300.0
34,E,Mark Boucher,South Africa,Wicketkeeper,200,Royal Challengers Bangalore,450.0
35,E,Parthiv Patel,India,Wicketkeeper,150,Chennai Super Kings,325.0
36,E,Kamran Akmal,Pakistan,Wicketkeeper,150,Rajasthan Royals,150.0
37,E,Tatenda Taibu[REC],Zimbabwe,Wicketkeeper,125,Kolkata Knight Riders,125.0
38,F,Albie Morkel,South Africa,Allrounder,225,Chennai Super Kings,675.0
39,F,Ajit Agarkar,India,Allrounder,200,Kolkata Knight Riders,350.0
40,F,Shaun Pollock,South Africa,Allrounder,200,Mumbai Indians,550.0
41,F,Irfan Pathan,India,Allrounder,200,Kings XI Punjab,925.0
42,F,Scott Styris,New Zealand,Allrounder,175,Deccan Chargers,175.0
43,F,Farveez Maharoof,Sri Lanka,Allrounder,150,Delhi Daredevils,225.0
44,F,Tillakaratne Dilshan,Sri Lanka,Allrounder,152,Delhi Daredevils,250.0
45,F,Cameron White,Australia,Allrounder,100,Royal Challengers Bangalore,500.0
46,F,Yusuf Pathan,India,Allrounder,100,Rajasthan Royals,475.0
47,F,Joginder Sharma,India,Allrounder,100,Chennai Super Kings,225.0
48,G,Ramnaresh Sarwan[REC],West Indies,Batsman,225,Kings XI Punjab,225.0
49,G,Simon Katich[REC],Australia,Batsman,200,Kings XI Punjab,200.0
50,G,Justin Langer[REC],Australia,Batsman,200,Rajasthan Royals,200.0
51,G,Gautam Gambhir,India,Batsman,220,Delhi Daredevils,725.0
52,G,Robin Uthappa,India,Batsman,200,Mumbai Indians,800.0
53,G,Shivnarine Chanderpaul[REC],West Indies,Batsman,200,Royal Challengers Bangalore,200.0
54,G,Ashwell Prince[REC],South Africa,Batsman,175,Unsold,
55,G,VVS Laxman,India,Batsman,150,Deccan Chargers,375.0
56,G,Wasim Jaffer,India,Batsman,150,Royal Challengers Bangalore,150.0
57,G,Rohit Sharma,India,Batsman,150,Deccan Chargers,750.0
58,G,Loots Bosman[REC],South Africa,Batsman,150,Mumbai Indians,175.0
59,G,Mohammad Kaif,India,Batsman,125,Rajasthan Royals,675.0
60,G,Suresh Raina,India,Batsman,125,Chennai Super Kings,650.0
61,G,Manoj Tiwary,India,Batsman,100,Delhi Daredevils,675.0
62,G,Chamara Silva,Sri Lanka,Batsman,100,Deccan Chargers,100.0
63,G,David Hussey,Australia,Batsman,100,Kolkata Knight Riders,625.0
64,H,Nathan Bracken,Australia,Bowler,225,Royal Challengers Bangalore,325.0
65,H,R P Singh,India,Bowler,200,Deccan Chargers,875.0
66,H,Murali Kartik,India,Bowler,200,Kolkata Knight Riders,425.0
67,H,Makhaya Ntini,South Africa,Bowler,200,Chennai Super Kings,200.0
68,H,Lasith Malinga,Sri Lanka,Bowler,200,Mumbai Indians,350.0
69,H,Chaminda Vaas,Sri Lanka,Bowler,200,Deccan Chargers,200.0
70,H,Ramesh Powar,India,Bowler,150,Kings XI Punjab,170.0
71,H,Umar Gul,Pakistan,Bowler,150,Kolkata Knight Riders,150.0
72,H,Dale Steyn,South Africa,Bowler,150,Royal Challengers Bangalore,325.0
73,H,Dilhara Fernando,Sri Lanka,Bowler,150,Mumbai Indians,150.0
74,H,Ishant Sharma,India,Bowler,150,Kolkata Knight Riders,950.0
75,H,Piyush Chawla,India,Bowler,125,Kings XI Punjab,400.0
76,H,Munaf Patel,India,Bowler,100,Rajasthan Royals,275.0
77,H,Nuwan Zoysa,Sri Lanka,Bowler,100,Deccan Chargers,110.0
