year,id,Player,Franchise (Team),base_price_in_usd,sold_price_in_usd
2010,230559,Kieron Pollard,Mumbai Indians,200000,750000
2010,36326,Shane Bond,Kolkata Knight Riders,100000,750000
2010,230553,Kemar Roach,Deccan Chargers,100000,720000
2010,265564,Wayne Parnell,Delhi Capitals,200000,610000
2010,29990,Mohammad Kaif,Kings XI Punjab,100000,250000
2010,24598,Eoin Morgan,Royal Challengers Bangalore,200000,220000
2010,45797,Justin Kemp,Chennai Super Kings,100000,100000
2010,6513,Damien Martyn,Rajasthan Royals,100000,100000
2010,233514,Thisara Perera,Chennai Super Kings,50000,50000
2010,8119,Adam Voges,Rajasthan Royals,50000,50000
2010,224367,Yusuf Abdulla,Kings XI Punjab,20000,20000
