year,player_id,player_name,team,short_team_name,base_price_in_cr,base_price,sold_price_in_cr,sold_price,Type,purse_spent_in_cr,purse_left_in_cr
2016,19296,Kevin Pietersen,Rising Pune Supergiants,,2,20000000,3.5,35000000,,,
2016,53118,Dwayne Smith,Gujarat Lions,,0.5,5000000,2.3,23000000,,,
2016,236779,Ishant Sharma,Rising Pune Supergiants,,2,20000000,3.8,38000000,,,
2016,8180,Shane Watson,Royal Challengers Bangalore,,2,20000000,9.5,95000000,,,
2016,31820,Ashish Nehra,Sunrisers Hyderabad,,2,20000000,5.5,55000000,,,
2016,36084,Yuvraj Singh,Sunrisers Hyderabad,,2,20000000,7,70000000,,,
2016,47492,Dale Steyn,Gujarat Lions,,1.5,15000000,2.3,23000000,,,
2016,425943,Sanju Samson,Delhi Capitals,,2,20000000,4.2,42000000,,,
2016,308967,Jos Buttler,Mumbai Indians,,1.5,15000000,3.8,38000000,,,
2016,30045,Dinesh Karthik,Gujarat Lions,,2,20000000,2.3,23000000,,,
2016,32685,Irfan Pathan,Rising Pune Supergiants,,1,10000000,1,10000000,,,
2016,439952,Chris Morris,Delhi Capitals,,0.5,5000000,7,70000000,,,
2016,232359,Colin Munro,Kolkata Knight Riders,,0.3,3000000,0.3,3000000,,,
2016,27223,Stuart Binny,Royal Challengers Bangalore,,2,20000000,2,20000000,,,
2016,272450,Mitchell Marsh,Rising Pune Supergiants,,2,20000000,4.8,48000000,,,
2016,277955,Dhawal Kulkarni,Gujarat Lions,,2,20000000,2,20000000,,,
2016,228622,John Hastings,Kolkata Knight Riders,,1,10000000,1.3,13000000,,,
2016,30732,Praveen Kumar,Gujarat Lions,,0.5,5000000,3.5,35000000,,,
2016,232364,Tim Southee,Mumbai Indians,,1,10000000,2.5,25000000,,,
2016,537119,Mohit Sharma,Punjab Kings,,1.5,15000000,6.5,65000000,,,
2016,457249,Carlos Brathwaite,Delhi Capitals,,0.3,3000000,4.2,42000000,,,
2016,325012,Marcus Stoinis,Punjab Kings,,0.3,3000000,0.55,5500000,,,
2016,330902,Mustafizur Rahman,Sunrisers Hyderabad,,0.5,5000000,1.4,14000000,,,
2016,390484,Jaydev Unadkat,Kolkata Knight Riders,,0.3,3000000,1.6,16000000,,,
2016,297583,Kyle Abbott,Punjab Kings,,0.3,3000000,2.1,21000000,,,
2016,537126,Barinder Sran,Sunrisers Hyderabad,,0.5,5000000,1.2,12000000,,,
2016,310958,Abhimanyu Mithun,Sunrisers Hyderabad,,0.3,3000000,0.3,3000000,,,
2016,35280,RP Singh,Rising Pune Supergiants,,0.3,3000000,0.3,3000000,,,
2016,530011,Travis Head,Royal Challengers Bangalore,,0.3,3000000,0.5,5000000,,,
2016,432783,Sachin Baby,Royal Challengers Bangalore,,0.1,1000000,0.1,1000000,,,
2016,398439,Karun Nair,Delhi Capitals,,0.1,1000000,4,40000000,,,
2016,28160,Paras Dogra,Gujarat Lions,,0.1,1000000,0.1,1000000,,,
2016,720471,Ishan Kishan,Gujarat Lions,,0.1,1000000,0.35,3500000,,,
2016,931581,Rishabh Pant,Delhi Capitals,,0.1,1000000,1.9,19000000,,,
2016,340841,Eklavya Dwivedi,Gujarat Lions,,0.2,2000000,1,10000000,,,
2016,333904,Aditya Tare,Sunrisers Hyderabad,,0.2,2000000,1.2,12000000,,,
2016,277237,Iqbal Abdulla,Royal Challengers Bangalore,,0.1,1000000,0.1,1000000,,,
2016,497121,Deepak Hooda,Sunrisers Hyderabad,,0.1,1000000,4.2,42000000,,,
2016,422992,Ankit Sharma,Rising Pune Supergiants,,0.1,1000000,0.1,1000000,,,
2016,530773,Pawan Negi,Delhi Capitals,,0.3,3000000,8.5,85000000,,,
2016,26907,Rajat Bhatia,Rising Pune Supergiants,,0.3,3000000,0.6,6000000,,,
2016,279545,Pradeep Sangwan,Gujarat Lions,,0.2,2000000,0.2,2000000,,,
2016,853259,Nathu Singh,Mumbai Indians,,0.1,1000000,3.2,32000000,,,
2016,447439,Ishwar Pandey,Rising Pune Supergiants,,0.2,2000000,0.2,2000000,,,
2016,591650,Ankit Rajpoot,Kolkata Knight Riders,,0.1,1000000,1.5,15000000,,,
2016,587152,Pravin Tambe,Gujarat Lions,,0.1,1000000,0.2,2000000,,,
2016,917213,Shivil Kaushik,Gujarat Lions,,0.1,1000000,0.1,1000000,,,
2016,317292,Sarabjit Ladda,Gujarat Lions,,0.1,1000000,0.1,1000000,,,
2016,528067,M Ashwin,Rising Pune Supergiants,,0.1,1000000,4.5,45000000,,,
2016,777537,KC Cariappa,Punjab Kings,,0.1,1000000,0.8,8000000,,,
