year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd_000,status,transferred,overseas
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,1083851,Suyash Prabhudessai,Suyash Prabhudessai,,AR,30,40,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,1123073,Anuj Rawat,Anuj Rawat,,BAT/WK,340,453,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,1155253,Luvnith Sisodia,Luvnith Sisodia,,BAT/WK,20,26,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,1159711,Shahbaz Ahmed,Shahbaz Ahmed,,AR,240,320,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,1176959,Akash Deep,Akash Deep,,BOW,20,26,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,1292513,Aneeshwar Gautam,Aneeshwar Gautam,,AR,20,26,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,253802,Virat Kohli,Virat Kohli,,BAT,1500,2000,Retained,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,272477,Jason Behrendorff,Jason Behrendorff,,BOW,75,100,New,False,True
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,288284,Josh Hazlewood,Josh Hazlewood,,BOW,775,1033,New,False,True
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,30045,Dinesh Karthik,Dinesh Karthik,,BAT/WK,550,733,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,30288,Karn Sharma,Karn Sharma,,BOW,50,66,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,308251,David Willey,David Willey,,AR,200,266,New,False,True
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,325026,Glenn Maxwell,Glenn Maxwell,,AR,1100,1466,Retained,False,True
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,326017,Siddarth Kaul,Siddarth Kaul,,BOW,75,100,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,390481,Harshal Patel,Harshal Patel,,AR,1075,1433,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,44828,Faf du Plessis,Faf du Plessis,,BAT,700,933,New,False,True
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,604616,Chama Milind,Chama Milind,,BOW,25,33,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,784379,Wanindu Hasaranga,Wanindu Hasaranga,,AR,1075,1433,New,False,True
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,853265,Mahipal Lomror,Mahipal Lomror,,AR,95,126,New,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,914541,Sherfane Rutherford,Sherfane Rutherford,,AR,100,133,New,False,True
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,940973,Mohammed Siraj,Mohammed Siraj,,BOW,700,933,Retained,False,False
2022,Royal Challengers Bangalore,88.45 cr,1.55 cr,959759,Finn Allen,Finn Allen,,BAT,80,106,New,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1079839,Anukul Roy,Anukul Roy,,AR,20,26,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1079848,Shivam Mavi,Shivam Mavi,,AR,725,966,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1081183,Abhijeet Tomar,Abhijeet Tomar,,BAT,40,53,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1083464,Pratham Singh,Pratham Singh,,BAT,20,26,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1108375,Varun Chakravarthy,Varun Chakravarthy,,AR,800,1066,Retained,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1161489,Rasikh Salam,Rasikh Salam,,BOW,20,26,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1254269,Aman Khan,Aman Khan,,AR,20,26,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1299848,Ramesh Kumar,Ramesh Kumar,,BAT,20,26,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,1299879,Ashok Sharma,Ashok Sharma,,BOW,55,73,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,230558,Sunil Narine,Sunil Narine,,BOW,600,800,Retained,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,232364,Tim Southee,Tim Southee,,BOW,150,200,New,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,237696,Sheldon Jackson,Sheldon Jackson,,BAT/WK,60,80,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,249866,Alex Hales,Alex Hales,,BAT,150,200,New,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,25913,Mohammad Nabi,Mohammad Nabi,,AR,100,133,New,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,276298,Andre Russell,Andre Russell,,AR,1200,1600,Retained,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,277916,Ajinkya Rahane,Ajinkya Rahane,,BAT,100,133,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,297628,Sam Billings,Sam Billings,,BAT/WK,200,266,New,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,376116,Umesh Yadav,Umesh Yadav,,BOW,200,266,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,477069,Baba Indrajith,Baba Indrajith,,BAT/WK,20,26,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,489889,Pat Cummins,Pat Cummins,,AR,725,966,New,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,604527,Nitish Rana,Nitish Rana,,AR,800,1066,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,623695,Chamika Karunaratne,Chamika Karunaratne,,AR,50,66,New,False,True
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,642519,Shreyas Iyer,Shreyas Iyer,,BAT,1225,1633,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,723105,Rinku Singh,Rinku Singh,,BAT,55,73,New,False,False
2022,Kolkata Knight Riders,89.55 cr,0.45 cr,851403,Venkatesh Iyer,Venkatesh Iyer,,AR,800,1066,Retained,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,1064812,Rahul Chahar,Rahul Chahar,,BOW,525,700,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,1125958,Atharva Taide,Atharva Taide,,AR,20,26,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,1125976,Arshdeep Singh,Arshdeep Singh,,BOW,400,533,Retained,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,1161024,Prabhsimran Singh,Prabhsimran Singh,,BAT/WK,60,80,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,1168641,Harpreet Brar,Harpreet Brar,,AR,380,506,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,1209292,Vaibhav Arora,Vaibhav Arora,,BOW,200,266,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,1216149,Ansh Patel,Ansh Patel,,AR,20,26,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,1292502,Raj Angad Bawa,Raj Angad Bawa,,AR,200,266,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,211748,Benny Howell,Benny Howell,,AR,40,53,New,False,True
2022,Punjab Kings,86.55 cr,3.45 cr,28235,Shikhar Dhawan,Shikhar Dhawan,,BAT,825,1100,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,290727,Rishi Dhawan,Rishi Dhawan,,AR,55,73,New,False,False
2022,Punjab Kings,86.55 cr,3.45 cr,297433,Jonny Bairstow,Jonny Bairstow,,BAT/WK,675,900,New,False,True
