year,player_id,player_name,team,short_team_name,sold_price_in_cr,sold_price,type,purse_spent_in_cr,purse_left_in_cr
2015,237095,M Vijay,Punjab Kings,,3,30000000,,,
2015,49764,Angelo Mathews,Delhi Capitals,,7.5,75000000,,,
2015,277906,Kane Williamson,Sunrisers Hyderabad,,0.6,6000000,,,
2015,36084,Yuvraj Singh,Delhi Capitals,,16,160000000,,,
2015,19296,Kevin Pietersen,Sunrisers Hyderabad,,2,20000000,,,
2015,30045,Dinesh Karthik,Royal Challengers Bangalore,,10.5,105000000,,,
2015,604550,Amit Mishra,Delhi Capitals,,3.5,35000000,,,
2015,5334,Aaron Finch,Mumbai Indians,,3.2,32000000,,,
2015,24598,Eoin Morgan,Sunrisers Hyderabad,,1.5,15000000,,,
2015,26806,S Badrinath,Royal Challengers Bangalore,,0.3,3000000,,,
2015,5939,Michael Hussey,Chennai Super Kings,,1.5,15000000,,,
2015,355269,James Neesham,Kolkata Knight Riders,,0.5,5000000,,,
2015,10582,Ravi Bopara,Sunrisers Hyderabad,,1,10000000,,,
2015,439952,Chris Morris,Rajasthan Royals,,1.4,14000000,,,
2015,53115,Darren Sammy,Royal Challengers Bangalore,,2.8,28000000,,,
2015,34019,Laxmi Shukla,Sunrisers Hyderabad,,0.3,3000000,,,
2015,30732,Praveen Kumar,Sunrisers Hyderabad,,2.2,22000000,,,
2015,277912,Trent Boult,Sunrisers Hyderabad,,3.8,38000000,,,
2015,390484,Jaydev Unadkat,Delhi Capitals,,1.1,11000000,,,
2015,398666,Sean Abbott,Royal Challengers Bangalore,,1,10000000,,,
2015,450860,Adam Milne,Royal Challengers Bangalore,,0.7,7000000,,,
2015,32130,Pragyan Ojha,Mumbai Indians,,0.5,5000000,,,
2015,272994,Rahul Sharma,Chennai Super Kings,,0.3,3000000,,,
2015,5681,Brad Hogg,Kolkata Knight Riders,,0.5,5000000,,,
2015,221140,David Wiese,Royal Challengers Bangalore,,2.8,28000000,,,
2015,319439,Mitchell McClenaghan,Mumbai Indians,,0.3,3000000,,,
2015,297583,Kyle Abbott,Chennai Super Kings,,0.3,3000000,,,
2015,499660,Gurinder Sandhu,Delhi Capitals,,1.7,17000000,,,
2015,642519,Shreyas Iyer,Delhi Capitals,,2.6,26000000,,,
2015,452044,Hanuma Vihari,Sunrisers Hyderabad,,0.1,1000000,,,
2015,642525,Sarfaraz Khan,Royal Challengers Bangalore,,0.5,5000000,,,
2015,302208,CM Gautam,Delhi Capitals,,0.2,2000000,,,
2015,554700,Nikhil Naik,Punjab Kings,,0.3,3000000,,,
2015,725435,Aditya Garhwal,Kolkata Knight Riders,,0.25,2500000,,,
2015,32084,Sumit Narwal,Kolkata Knight Riders,,0.1,1000000,,,
2015,237199,Jalaj Saxena,Royal Challengers Bangalore,,0.1,1000000,,,
2015,528985,Domnic Joseph,Delhi Capitals,,0.75,7500000,,,
2015,269520,Akshay Wakhare,Mumbai Indians,,0.1,1000000,,,
2015,777537,KC Cariappa,Kolkata Knight Riders,,2.4,24000000,,,
2015,237696,Sheldon Jackson,Kolkata Knight Riders,,0.15,1500000,,,
2015,625371,Hardik Pandya,Mumbai Indians,,0.1,1000000,,,
2015,604534,Ankush Bains,Chennai Super Kings,,0.1,1000000,,,
2015,474794,Shishir Bhavane,Royal Challengers Bangalore,,0.1,1000000,,,
2015,530011,Travis Head,Delhi Capitals,,0.3,3000000,,,
2015,529436,Srikar Bharat,Delhi Capitals,,0.1,1000000,,,
2015,32685,Irfan Pathan,Chennai Super Kings,,1.5,15000000,,,
2015,46248,Albie Morkel,Delhi Capitals,,0.3,3000000,,,
2015,604527,Nitish Rana,Mumbai Indians,,0.1,1000000,,,
2015,34155,Pardeep Sahu,Rajasthan Royals,,0.1,1000000,,,
2015,422342,Siddhesh Lad,Mumbai Indians,,0.1,1000000,,,
2015,590325,Vaibhav Rawal,Kolkata Knight Riders,,0.1,1000000,,,
2015,325012,Marcus Stoinis,Delhi Capitals,,0.25,2500000,,,
2015,527663,J Suchith,Mumbai Indians,,0.1,1000000,,,
2015,32211,Padmanabhan Prasanth,Sunrisers Hyderabad,,0.1,1000000,,,
2015,278482,Dinesh Salunkhe,Rajasthan Royals,,0.1,1000000,,,
2015,717205,Pratyush Singh,Chennai Super Kings,,0.1,1000000,,,
2015,29048,Yogesh Golwalkar,Punjab Kings,,0.1,1000000,,,
2015,30102,Zaheer Khan,Delhi Capitals,,4,40000000,,,
2015,310958,Abhimanyu Mithun,Mumbai Indians,,0.3,3000000,,,
2015,326017,Siddarth Kaul,Sunrisers Hyderabad,,0.1,1000000,,,
2015,459508,Andrew Tye,Chennai Super Kings,,0.2,2000000,,,
2015,537126,Brainder Sran,Rajasthan Royals,,0.1,1000000,,,
2015,857781,KK Jiyaz,Delhi Capitals,,0.1,1000000,,,
2015,223642,Rusty Theron,Rajasthan Royals,,0.3,3000000,,,
2015,4498,Aiden Blizzard,Mumbai Indians,,0.3,3000000,,,
2015,340841,Eklavya Dwivedi,Chennai Super Kings,,0.1,1000000,,,
2015,856285,Sagar Trivedi,Rajasthan Royals,,0.1,1000000,,,
