year,team,purse_spent,purse_left,player_id,player_name,player_fullname,type,cost_inr_lakh,cost_usd_000,status,transferred,overseas
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,1083033,Kulwant Khejroliya,Kulwant Khejroliya,BOW,85,132,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,232364,Tim Southee,Tim Southee,BOW,100,156,New,FALSE,TRUE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,247235,Chris Woakes,Chris Woakes,AR,740,1156,New,FALSE,TRUE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,261354,Nathan Coulter-Nile,Nathan Coulter-Nile,BOW,220,343,New,FALSE,TRUE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,32242,Parthiv Patel,Parthiv Patel,WK,170,265,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,376116,Umesh Yadav,Umesh Yadav,BOW,420,656,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,37737,Brendon McCullum,Brendon McCullum,BAT,360,562,New,FALSE,TRUE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,379143,Quinton de Kock,Quinton de Kock,WK,280,437,New,FALSE,TRUE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,398506,Mandeep Singh,Mandeep Singh,BAT,140,218,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,420644,Aniruddha Joshi,Aniruddha Joshi,AR,20,31,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,422104,Pavan Deshpande,Pavan Deshpande,AR,20,31,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,430246,Yuzvendra Chahal,Yuzvendra Chahal,BOW,600,937,RTM,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,527299,Aniket Choudhary,Aniket Choudhary,BOW,30,46,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,528067,Murugan Ashwin,Murugan Ashwin,BOW,220,343,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,530773,Pawan Negi,Pawan Negi,AR,100,156,RTM,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,532856,Manan Vohra,Manan Vohra,BAT,110,171,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,55395,Colin de Grandhomme,Colin de Grandhomme,AR,220,343,New,FALSE,TRUE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,700167,Navdeep Saini,Navdeep Saini,BOW,300,468,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,719715,Washington Sundar,Washington Sundar,AR,320,500,New,FALSE,FALSE
2018,Royal Challengers Bangalore,79.85 cr,0.15 cr,8917,Moeen Ali,Moeen Ali,AR,170,265,New,FALSE,TRUE
