year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd_000,status,transferred,overseas
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,1083033,Kulwant Khejroliya,Kulwant Khejroliya,,BOW,85,118,Retained,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,1119026,Devdutt Padikkal,Devdutt Padikkal,,BAT,20,27,New,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,1159712,Prayas Ray Barman,Prayas Ray Barman,,AR,150,208,New,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,232364,Tim Southee,Tim Southee,,BOW,100,138,Retained,FALSE,TRUE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,253802,Virat Kohli,Virat Kohli,,BAT,1700,2361,Retained,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,261354,Nathan Coulter-Nile,Nathan Coulter-Nile,,BOW,220,305,Retained,FALSE,TRUE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,32242,Parthiv Patel,Parthiv Patel,,BAT/WK,170,236,Retained,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,325012,Marcus Stoinis,Marcus Stoinis,,AR,620,861,New,FALSE,TRUE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,376116,Umesh Yadav,Umesh Yadav,,BOW,420,583,Retained,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,430246,Yuzvendra Chahal,Yuzvendra Chahal,,BOW,600,833,Retained,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,436757,Heinrich Klaasen,Heinrich Klaasen,,BAT/WK,50,69,New,FALSE,TRUE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,44936,AB de Villiers,AB de Villiers,,BAT,1100,1527,Retained,FALSE,TRUE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,451947,Milind Kumar,Milind Kumar,,AR,20,27,New,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,500360,Akshdeep Nath,Akshdeep Nath,,AR,360,500,New,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,530773,Pawan Negi,Pawan Negi,,AR,100,138,Retained,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,537124,Gurkeerat Singh Mann,Gurkeerat Singh Mann,,AR,50,69,New,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,55395,Colin de Grandhomme,Colin de Grandhomme,,AR,220,305,Retained,FALSE,TRUE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,670025,Shimron Hetmyer,Shimron Hetmyer,,BAT,420,583,New,FALSE,TRUE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,700167,Navdeep Saini,Navdeep Saini,,BOW,300,416,Retained,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,714451,Shivam Dube,Shivam Dube,,AR,500,694,New,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,719715,Washington Sundar,Washington Sundar,,AR,320,444,Retained,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,805235,Himmat Singh,Himmat Singh,,BAT,65,90,New,FALSE,FALSE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,8917,Moeen Ali,Moeen Ali,,AR,170,236,Retained,FALSE,TRUE
2019,Royal Challengers Bangalore,80.2 cr,1.8 cr,940973,Mohammed Siraj,Mohammed Siraj,,BOW,260,361,Retained,FALSE,FALSE
2019,Kolkata Knight Riders,75.95 cr,6.05 cr,1070173,Shubman Gill,Shubman Gill,,BAT,180,250,Retained,FALSE,FALSE
2019,Kolkata Knight Riders,75.95 cr,6.05 cr,1070188,Kamlesh Nagarkoti,Kamlesh Nagarkoti,,AR,320,444,Retained,FALSE,FALSE
