team,purse_spent,purse_left,players_bought,overseas_buys,player_id,player_name,player_fullname,birthdate,type,base_price,sold_price,sold_price_cr,status,transferred,overseas
Chennai Super Kings,1199500000,500000,25/25,7/8,1060380,RD Gaikwad,Ruturaj Gaikwad,1997-01-31,BATTER,0,180000000,18.0,Retained,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,234675,RA Jadeja,Ravindra Jadeja,1988-12-06,ALL_ROUNDER,0,180000000,18.0,Retained,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1194795,M Pathirana,Matheesha Pathirana,2002-12-18,BOWLER,0,130000000,13.0,Retained,False,True
Chennai Super Kings,1199500000,500000,25/25,7/8,714451,S Dube,Shivam Dube,1993-06-26,ALL_ROUNDER,0,120000000,12.0,Retained,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1182529,Noor Ahmad,Noor Ahmad,2005-01-03,BOWLER,20000000,100000000,10.0,New,False,True
Chennai Super Kings,1199500000,500000,25/25,7/8,26421,R Ashwin,Ravichandran Ashwin,1986-09-17,ALL_ROUNDER,20000000,97500000,9.75,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,379140,DP Conway,Devon Conway,1991-07-08,BATTER,20000000,62500000,6.25,New,False,True
Chennai Super Kings,1199500000,500000,25/25,7/8,942645,KK Ahmed,Khaleel Ahmed,1997-12-05,BOWLER,20000000,48000000,4.8,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,959767,R Ravindra,Rachin Ravindra,1999-11-18,ALL_ROUNDER,15000000,40000000,4.0,RTM,False,True
Chennai Super Kings,1199500000,500000,25/25,7/8,28081,MS Dhoni,MS Dhoni,1981-07-07,BATTER,0,40000000,4.0,Retained,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1175428,A Kamboj,Anshul Kamboj,2000-12-06,ALL_ROUNDER,3000000,34000000,3.4,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,446763,RA Tripathi,Rahul Tripathi,1991-03-02,BATTER,7500000,34000000,3.4,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,662973,SM Curran,Sam Curran,1998-06-03,ALL_ROUNDER,20000000,24000000,2.4,New,False,True
Chennai Super Kings,1199500000,500000,25/25,7/8,1269869,Gurjapneet Singh,Gurjapneet Singh,1998-11-08,BOWLER,3000000,22000000,2.2,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,826915,NT Ellis,Nathan Ellis,1994-09-22,BOWLER,12500000,20000000,2.0,New,False,True
Chennai Super Kings,1199500000,500000,25/25,7/8,497121,DJ Hooda,Deepak Hooda,1995-04-19,ALL_ROUNDER,7500000,17000000,1.7,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,510530,J Overton,Jamie Overton,1994-04-10,ALL_ROUNDER,15000000,15000000,1.5,New,False,True
Chennai Super Kings,1199500000,500000,25/25,7/8,477021,V Shankar,Vijay Shankar,1991-01-26,ALL_ROUNDER,3000000,12000000,1.2,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1413379,V Bedi,Vansh Bedi,2002-12-23,BATTER,3000000,5500000,0.55,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1440190,C Andre Siddarth,C Andre Siddarth,2006-08-28,BATTER,3000000,3000000,0.3,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1339053,RS Ghosh,Ramakrishna Ghosh,1997-08-28,ALL_ROUNDER,3000000,3000000,0.3,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1292497,SK Rasheed,Shaik Rasheed,2004-09-24,BATTER,3000000,3000000,0.3,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1125688,Mukesh Choudhary,Mukesh Choudhary,1996-07-06,BOWLER,3000000,3000000,0.3,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,1070188,KL Nagarkoti,Kamlesh Nagarkoti,1999-12-28,ALL_ROUNDER,3000000,3000000,0.3,New,False,False
Chennai Super Kings,1199500000,500000,25/25,7/8,344580,S Gopal,Shreyas Gopal,1993-09-04,BOWLER,3000000,3000000,0.3,New,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,554691,AR Patel,Axar Patel,1994-01-20,ALL_ROUNDER,0,165000000,16.5,Retained,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,422108,KL Rahul,KL Rahul,1992-04-18,BATTER,20000000,140000000,14.0,New,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,559235,Kuldeep Yadav,Kuldeep Yadav,1994-12-14,BOWLER,0,132500000,13.25,Retained,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,311592,MA Starc,Mitchell Starc,1990-01-30,BOWLER,20000000,117500000,11.75,New,False,True
Delhi Capitals,1198000000,2000000,23/25,7/8,802575,T Natarajan,T Natarajan,1991-04-04,BOWLER,20000000,107500000,10.75,New,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,595978,T Stubbs,Tristan Stubbs,2000-08-14,BATTER,0,100000000,10.0,Retained,False,True
Delhi Capitals,1198000000,2000000,23/25,7/8,1168049,J Fraser-McGurk,Jake Fraser-McGurk,2002-04-11,BATTER,20000000,90000000,9.0,RTM,False,True
Delhi Capitals,1198000000,2000000,23/25,7/8,926851,Mukesh Kumar,Mukesh Kumar,1993-10-12,BOWLER,20000000,80000000,8.0,RTM,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,911707,HC Brook,Harry Brook,1999-02-22,BATTER,20000000,62500000,6.25,New,False,True
Delhi Capitals,1198000000,2000000,23/25,7/8,1277545,Abishek Porel,Abishek Porel,2002-10-17,BATTER,0,40000000,4.0,Retained,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,1131978,AR Sharma,Ashutosh Sharma,1998-09-15,ALL_ROUNDER,3000000,38000000,3.8,New,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,537119,MM Sharma,Mohit Sharma,1988-09-18,BOWLER,5000000,22000000,2.2,New,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,44828,F du Plessis,Faf du Plessis,1984-07-13,BATTER,20000000,20000000,2.0,New,False,True
Delhi Capitals,1198000000,2000000,23/25,7/8,1175489,Sameer Rizvi,Sameer Rizvi,2003-12-06,ALL_ROUNDER,3000000,9500000,0.95,New,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,698315,D Ferreira,Donovan Ferreira,1998-07-21,BATTER,7500000,7500000,0.75,New,False,True
Delhi Capitals,1198000000,2000000,23/25,7/8,552152,PVD Chameera,Dushmantha Chameera,1992-01-11,BOWLER,7500000,7500000,0.75,New,False,True
Delhi Capitals,1198000000,2000000,23/25,7/8,1449074,V Nigam,Vipraj Nigam,2004-07-28,ALL_ROUNDER,3000000,5000000,0.5,New,False,False
Delhi Capitals,1198000000,2000000,23/25,7/8,398439,KK Nair,Karun Nair,1991-12-06,BATTER,3000000,5000000,0.5,New,False,False
