player_id,player_name,birthdate,age,nationality,player_role,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2022,IPL 2022,KKR,5,5,0,86,58,17.20,61,140.98,0,1,10,3,1,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2020/21,IPL 2020/21,RCB,12,12,0,268,52,22.33,241,111.20,0,1,28,8,3,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2018,IPL 2018,PBKS,10,9,1,134,46,16.75,100,134.00,0,0,6,8,4,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2017,IPL 2017,GL,13,13,1,299,72,24.91,180,166.11,0,2,25,19,5,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2016,IPL 2016,GL,13,12,2,393,74,39.30,299,131.43,0,5,45,11,3,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2015,IPL 2015,MI,3,3,1,23,10*,11.50,33,69.69,0,0,4,0,0,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2014,IPL 2014,SRH,13,13,2,309,88*,28.09,263,117.49,0,2,31,9,6,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2013,IPL 2013,PWI,14,14,0,456,67,32.57,336,135.71,0,4,54,16,2,0,1,12.25,24,1/11,1/11,49.00,24.0,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2012,IPL 2012,DC,2,2,0,55,30,27.50,51,107.84,0,0,8,0,0,0,-,-,-,-,-,-,-,-,-,-,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2011,IPL 2011,DC,6,6,0,47,25,7.83,46,102.17,0,0,3,3,4,0,0,6.50,12,-,-,-,-,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
5334,Aaron James Finch,"November 17, 1986, Colac, Victoria",39y 232d,Australia,Top order Batter,2011 - 2022,2009/10,IPL 2009/10,RR,1,1,0,21,21,21.00,21,100.00,0,0,0,1,0,0,0,4.28,7,-,-,-,-,0,0,0,"January 12, 2011","October 31, 2022","January 11, 2013","September 11, 2022"
29702,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",43y 218d,India,Batter,-,2012,IPL 2012,DCH,5,3,1,24,19,12.00,26,92.30,0,0,1,1,2,0,1,6.33,36,1/13,1/13,38.00,36.0,0,0,0,,,,
29702,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",43y 218d,India,Batter,-,2011,IPL 2011,PWI,3,2,0,10,10,5.00,18,55.55,0,0,2,0,4,0,0,11.00,12,-,-,-,-,0,0,0,,,,
29702,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",43y 218d,India,Batter,-,2009/10,IPL 2009/10,RR,13,11,2,183,53*,20.33,166,110.24,0,1,16,4,4,0,0,11.18,37,-,-,-,-,0,0,0,,,,
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 272d,India,Allrounder,2009 - 2009,2014,IPL 2014,RR,5,4,1,43,23,14.33,47,91.48,0,0,5,1,1,0,-,-,-,-,-,-,-,-,-,-,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 272d,India,Allrounder,2009 - 2009,2013,IPL 2013,PWI,11,9,3,66,25*,11.00,73,90.41,0,0,5,0,1,0,2,7.37,48,1/15,1/15,29.50,24.0,0,0,0,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 272d,India,Allrounder,2009 - 2009,2012,IPL 2012,PBKS,4,4,1,45,24,15.00,49,91.83,0,0,2,1,0,0,0,16.00,6,-,-,-,-,0,0,0,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 272d,India,Allrounder,2009 - 2009,2011,IPL 2011,PBKS,10,9,2,61,17*,8.71,67,91.04,0,0,9,0,2,0,2,9.34,61,1/22,1/22,47.50,30.5,0,0,0,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 272d,India,Allrounder,2009 - 2009,2009/10,IPL 2009/10,MI,3,3,1,58,27,29.00,51,113.72,0,0,4,2,1,0,-,-,-,-,-,-,-,-,-,-,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 272d,India,Allrounder,2009 - 2009,2009,IPL 2009,MI,13,11,2,193,35,21.44,152,126.97,0,0,14,7,4,0,4,7.00,72,3/13,3/13,21.00,18.0,0,0,0,,,"July 03, 2009","September 30, 2009"
32091,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",42y 272d,India,Allrounder,2009 - 2009,2007/08,IPL 2007/08,MI,14,10,2,206,45*,25.75,138,149.27,0,0,16,9,4,0,1,9.71,42,1/18,1/18,68.00,42.0,0,0,0,,,"July 03, 2009","September 30, 2009"
230593,Abhishek Santosh Raut,"March 03, 1987, Jaipur Road, Maharashtra",39y 126d,India,Allrounder,-,2011,IPL 2011,RR,7,4,1,60,25,20.00,58,103.44,0,0,5,1,4,0,0,8.00,6,-,-,-,-,0,0,0,,,,
230593,Abhishek Santosh Raut,"March 03, 1987, Jaipur Road, Maharashtra",39y 126d,India,Allrounder,-,2009/10,IPL 2009/10,RR,6,5,3,56,32*,28.00,48,116.66,0,0,3,3,2,0,-,-,-,-,-,-,-,-,-,-,,,,
230593,Abhishek Santosh Raut,"March 03, 1987, Jaipur Road, Maharashtra",39y 126d,India,Allrounder,-,2009,IPL 2009,RR,9,7,3,78,36*,19.50,61,127.86,0,0,5,3,3,0,0,9.00,24,-,-,-,-,0,0,0,,,,
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 85d,New Zealand,Bowler,2010 - 2025,2026,IPL 2026,RR,1,1,1,2,2*,-,2,100.00,0,0,0,0,0,0,0,12.30,20,-,-,-,-,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 85d,New Zealand,Bowler,2010 - 2025,2022,IPL 2022,CSK,1,-,-,-,-,-,-,-,-,-,-,-,0,0,0,7.60,15,-,-,-,-,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 85d,New Zealand,Bowler,2010 - 2025,2021,IPL 2021,MI,4,3,1,16,15,8.00,17,94.11,0,0,0,1,2,0,3,9.35,84,2/21,2/21,43.66,28.0,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 85d,New Zealand,Bowler,2010 - 2025,2017,IPL 2017,RCB,4,3,1,7,5,3.50,12,58.33,0,0,0,0,4,0,3,9.57,84,2/27,2/27,44.66,28.0,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
450860,Adam Fraser Milne,"April 13, 1992, Palmerston North",34y 85d,New Zealand,Bowler,2010 - 2025,2016,IPL 2016,RCB,1,-,-,-,-,-,-,-,-,-,-,-,1,0,1,10.75,24,1/43,1/43,43.00,24.0,0,0,0,"December 26, 2010","July 26, 2025","November 10, 2012","November 19, 2024"
8119,Adam Charles Voges,"October 04, 1979, Subiaco, Perth, Western Australia",46y 276d,Australia,Top order Batter,2007 - 2016,2009/10,IPL 2009/10,RR,9,7,3,181,45*,45.25,143,126.57,0,0,15,3,1,0,0,8.44,54,-,-,-,-,0,0,0,"December 11, 2007","February 13, 2013","February 20, 2007","November 02, 2013"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 98d,Australia,Bowler,2016 - 2026,2025,IPL 2025,SRH,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2,11.75,48,1/46,1/46,47.00,24.0,0,0,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 98d,Australia,Bowler,2016 - 2026,2023,IPL 2023,RR,6,3,0,10,7,3.33,16,62.50,0,0,0,0,0,0,8,8.54,132,3/22,3/22,23.50,16.5,0,0,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 98d,Australia,Bowler,2016 - 2026,2020/21,IPL 2020/21,RCB,3,-,-,-,-,-,-,-,-,-,-,-,1,0,2,8.36,66,1/12,1/12,46.00,33.0,0,0,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 98d,Australia,Bowler,2016 - 2026,2017,IPL 2017,RPS,6,1,0,5,5,5.00,7,71.42,0,0,1,0,0,0,7,8.21,119,2/22,2/22,23.28,17.0,0,0,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
379504,Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",34y 98d,Australia,Bowler,2016 - 2026,2016,IPL 2016,RPS,5,1,0,0,0,0.00,1,0.00,0,0,0,0,0,0,12,6.76,102,6/19,6/19,9.58,8.5,0,1,0,"March 04, 2016","June 21, 2026","February 06, 2016","June 14, 2026"
236694,Aditya Pradip Dole,"October 09, 1987, Pimpri, Maharashtra",38y 271d,India,Bowler,-,2009/10,IPL 2009/10,RR,3,2,0,34,30,17.00,22,154.54,0,0,3,1,2,0,5,10.18,66,2/36,2/36,22.40,13.2,0,0,0,,,,
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2026,IPL 2026,KKR,14,14,1,335,67,25.76,248,135.08,0,2,25,18,8,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2025,IPL 2025,KKR,13,12,1,390,61,35.45,264,147.72,0,3,36,20,5,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2024,IPL 2024,CSK,13,12,0,242,45,20.16,196,123.46,0,0,23,7,1,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2023,IPL 2023,CSK,14,11,1,326,71*,32.60,189,172.48,0,2,24,16,8,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2022,IPL 2022,KKR,7,7,0,133,44,19.00,128,103.90,0,0,14,4,3,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2021,IPL 2021,DC,2,1,0,8,8,8.00,8,100.00,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2020/21,IPL 2020/21,DC,9,8,0,113,60,14.12,107,105.60,0,1,12,2,4,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2019,IPL 2019,RR,14,13,1,393,105*,32.75,285,137.89,1,1,45,9,5,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2018,IPL 2018,RR,15,14,1,370,65*,28.46,313,118.21,0,1,39,5,4,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2017,IPL 2017,RPS,16,16,1,382,60,25.46,323,118.26,0,2,35,9,6,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2016,IPL 2016,RPS,14,14,3,480,74,43.63,379,126.64,0,6,54,9,7,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2015,IPL 2015,RR,14,13,2,540,91*,49.09,413,130.75,0,4,53,13,3,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2014,IPL 2014,RR,13,12,0,339,72,28.25,291,116.49,0,3,38,3,6,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2013,IPL 2013,RR,18,18,4,488,68*,34.85,458,106.55,0,4,42,11,10,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2012,IPL 2012,RR,16,16,2,560,103*,40.00,433,129.33,1,3,73,10,11,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2011,IPL 2011,RR,10,7,1,120,52,20.00,98,122.44,0,1,12,2,1,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2009,IPL 2009,MI,8,7,1,144,62*,24.00,123,117.07,0,2,12,3,1,0,1,5.00,6,1/5,1/5,5.00,6.0,0,0,0,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
277916,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",38y 31d,India,Top order Batter,2011 - 2023,2007/08,IPL 2007/08,MI,2,2,0,4,4,2.00,17,23.52,0,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,"August 31, 2011","August 28, 2016","September 03, 2011","February 16, 2018"
