player_id,player_name,birthdate,age,nationality,player_role,international_career,year,tournament,team,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end
29702,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",43y 215d,India,Batter,-,2012,IPL 2012,DCH,5,3,1,24,19,12.00,26,92.30,0,0,1,1,2,0,1,6.33,36,1/13,1/13,38.00,36.0,0,0,0,,,,
29702,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",43y 215d,India,Batter,-,2011,IPL 2011,PWI,3,2,0,10,10,5.00,18,55.55,0,0,2,0,4,0,0,11.00,12,-,-,-,-,0,0,0,,,,
29702,Abhishek Arunkumar Jhunjhunwala,"December 01, 1982, Calcutta (now Kolkata), Bengal",43y 215d,India,Batter,-,2009/10,IPL 2009/10,RR,13,11,2,183,53*,20.33,166,110.24,0,1,16,4,4,0,0,11.18,37,-,-,-,-,0,0,0,,,,
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 232d,Australia,Wicketkeeper Batter,1996 - 2008,2013,IPL 2013,PBKS,13,13,1,294,85*,24.50,229,128.38,0,1,41,6,12,0,1,0.00,1,1/0,1/0,0.00,1.0,0,0,0,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 232d,Australia,Wicketkeeper Batter,1996 - 2008,2012,IPL 2012,PBKS,7,7,2,172,64*,34.40,143,120.27,0,1,21,4,5,0,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 232d,Australia,Wicketkeeper Batter,1996 - 2008,2011,IPL 2011,PBKS,14,14,0,383,106,27.35,295,129.83,1,2,41,18,9,3,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 232d,Australia,Wicketkeeper Batter,1996 - 2008,2009/10,IPL 2009/10,DCH,16,16,0,289,54,18.06,185,156.21,0,1,31,16,9,4,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 232d,Australia,Wicketkeeper Batter,1996 - 2008,2009,IPL 2009,DCH,16,16,0,495,85,30.93,325,152.30,0,3,54,29,10,8,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
5390,Adam Craig Gilchrist,"November 14, 1971, Bellingen, New South Wales",54y 232d,Australia,Wicketkeeper Batter,1996 - 2008,2007/08,IPL 2007/08,DCH,14,14,1,436,109*,33.53,318,137.10,1,3,51,19,6,1,-,-,-,-,-,-,-,-,-,-,"February 17, 2005","February 01, 2008","October 25, 1996","March 04, 2008"
376109,Produturi Akshath Reddy,"February 11, 1991, Hyderabad",35y 143d,India,Opening Batter,-,2013,IPL 2013,SRH,7,7,0,91,27,13.00,101,90.09,0,0,9,0,2,0,-,-,-,-,-,-,-,-,-,-,,,,
